seed	Spearman	Pearson
1	-0.3712846398727646	-0.3499568878116026
2	-0.34516091577372926	-0.28715800368111755
3	-0.3716769921974048	-0.327159142232807
4	-0.3709028815919819	-0.3456703153728462
5	-0.3662129221185929	-0.3113061926285566
6	-0.398717828891859	-0.34730363054791585
7	-0.33050161418751284	-0.2407594096973617
8	-0.32040262352470394	-0.2238054179420147
9	-0.3743685313897023	-0.2662726725071407
10	-0.34598607705930995	-0.27726125463298945
11	-0.394327400110805	-0.3205140779887842
12	-0.32810720326062676	-0.25255117747054145
13	-0.35014885718044325	-0.3307123321993316
14	-0.30946530876019585	-0.28050453397705594
15	-0.3572024645604513	-0.2873648666178493
16	-0.40038101977395957	-0.2933091849717986
17	-0.2754373327236829	-0.2709580020316247
18	-0.33599300095201406	-0.3056568339433996
19	-0.3870527994537813	-0.271426535988319
20	-0.30821118552456206	-0.2518415978280635
21	-0.41923366699914055	-0.35049573726082806
22	-0.30337366389854836	-0.27534496197141
23	-0.34155021108403666	-0.3187977763951959
24	-0.4129758108065956	-0.4211926901615384
25	-0.30227879818876807	-0.26627366511381645
26	-0.37292587831856094	-0.372802754223968
27	-0.35490855009173466	-0.26187799893923114
28	-0.35825017429473827	-0.29273341583280127
29	-0.34962146472994937	-0.28660677336430523
30	-0.32300914234700884	-0.30702061610128983
31	-0.3360651527121056	-0.2628187749640455
32	-0.311187546054403	-0.2720634379126568
33	-0.35282978022594663	-0.32896164045643084
34	-0.34929453118193476	-0.3332852493161258
35	-0.36370034746038005	-0.33044424300935826
36	-0.3244862129534773	-0.31517335794621815
37	-0.3136701803318787	-0.28314226209510596
38	-0.3527634637629382	-0.2775016356798211
39	-0.3518361061821279	-0.24718812432005122
40	-0.3116004803768187	-0.2356966971968335
41	-0.3788829289299008	-0.2677432438428675
42	-0.3516953538403694	-0.29459674970215916
43	-0.36913910264984306	-0.31921718914163233
44	-0.34874215326565094	-0.25485042140195974
45	-0.35261643407149534	-0.2686616486691311
46	-0.33470269455134316	-0.25840860919206926
47	-0.2829173748472085	-0.27020994634451334
48	-0.38164823721134045	-0.3633316681015075
49	-0.3081303003979633	-0.2899917276444451
50	-0.38757669747519957	-0.3595066911798937
51	-0.3403774108864544	-0.28709120846279934
52	-0.36482011614456494	-0.30095785799532526
53	-0.33194136729577534	-0.35250962582853684
54	-0.3743009949847391	-0.3499465671581666
55	-0.36239445782978114	-0.2680396192202299
56	-0.3604839666123608	-0.29678556229911396
57	-0.30477289144554975	-0.2260926919599217
58	-0.379282433882589	-0.2901417336723798
59	-0.3738093098569116	-0.3409428537444231
60	-0.35153799336142905	-0.3719484076322964
61	-0.37543765279599867	-0.30150976862899487
62	-0.35646638550347987	-0.3575911259000363
63	-0.3676896475476093	-0.3034823889723793
64	-0.30763762448992465	-0.29623062464617045
65	-0.3586214838429405	-0.31239344071773756
66	-0.3686418441152143	-0.36318193335763516
67	-0.3594170939205704	-0.3007565219952602
68	-0.36103999719238233	-0.3299192664101381
69	-0.36536181388010586	-0.28750617146139484
70	-0.3203265234916163	-0.2572644513121449
71	-0.36491194041427905	-0.29751636007915877
72	-0.36090147953952	-0.35379803399366394
73	-0.33812292192590193	-0.2837289501890923
74	-0.359312732887904	-0.33111105443128563
75	-0.3286004846265229	-0.299313030415269
76	-0.32394410217940434	-0.29638862977169994
77	-0.31401618013325594	-0.25515804013945503
78	-0.3576574215830927	-0.2576744442126011
79	-0.33689845397998053	-0.2799366740349917
80	-0.3495840233891544	-0.2534704604725491
81	-0.3095500437412191	-0.23127127004194795
82	-0.3413931930466681	-0.25587067693456134
83	-0.39010123568121713	-0.3324434213037306
84	-0.34899621747863824	-0.28059257972876717
85	-0.33579827369543513	-0.30114780073597003
86	-0.4287546069370414	-0.3138159896814888
87	-0.362009209178667	-0.3347816411708597
88	-0.31587309402609276	-0.3139623742241846
89	-0.3747078015562756	-0.2844703407893232
90	-0.3603149279349948	-0.3965588603035783
91	-0.32658063878464944	-0.2854656585424049
92	-0.27073779594292097	-0.2588025151912725
93	-0.3555951995351872	-0.27761171688784847
94	-0.322213052555	-0.2749571173026738
95	-0.34504939468641255	-0.30876810875175886
96	-0.33924107004561177	-0.3399039624654491
97	-0.3498524840301395	-0.3115316903913438
98	-0.3608666458223165	-0.3605352839113745
99	-0.37554611555736905	-0.26424097591082474
100	-0.30943242873047017	-0.2924686456980382
