Fraction_of_nodes	Efficiency
0.001	0.29148223039480786
0.002	0.2873001435852561
0.003	0.2839814145071964
0.004	0.28080069500481963
0.005	0.2784779411110763
0.006	0.274969917333605
0.007	0.27342901365825845
0.008	0.2715366727991351
0.009	0.2662719162235021
0.01	0.2650432754548424
0.011	0.26344180383887567
0.012	0.2623061213767275
0.013	0.260035638126217
0.014	0.2587902204487128
0.015	0.2560448269749245
0.016	0.2547956594884936
0.017	0.25276276814661536
0.018	0.2481030052046973
0.019	0.2464992461252287
0.02	0.2450980726469068
0.021	0.244141812352074
0.022	0.24257110310782573
0.023	0.242112781459014
0.024	0.24138740350594315
0.025	0.24026624011188932
0.026	0.23900145022646668
0.027	0.23845600264724484
0.028	0.23817564824580184
0.029	0.23772826803171918
0.03	0.23738475205758708
0.031	0.2371063788490757
0.032	0.2369703291407159
0.033	0.23677787932615968
0.034	0.23608154938930867
0.035	0.2359603288940165
0.036	0.2358943099121041
0.037	0.23583314066328628
0.038	0.2358014413440268
0.039	0.23575954538656893
0.04	0.23558569849415828
0.041	0.23557347157650826
0.042	0.23544543653750308
0.043	0.23535534752131787
0.044	0.2353411104136035
0.045	0.23537631489087082
0.046	0.2352817672370331
0.047	0.2352644957961988
0.048	0.23520502575509505
0.049	0.2345974294319139
0.05	0.2342035533173519
0.051	0.23405298726220855
0.052	0.23404395966030067
0.053	0.23403033694413858
0.054	0.23405266076491535
0.055	0.23408101878670146
0.056	0.23408489137195632
0.057	0.2341084603741643
0.058	0.23413617749929574
0.059	0.23411697085257882
0.06	0.23415015722801877
0.061	0.23419847813573783
0.062	0.23419895401112173
0.063	0.23402902567467457
0.064	0.2340286556230001
0.065	0.23384460733993231
0.066	0.23389177925794544
0.067	0.23392663466317934
0.068	0.23442916234236985
0.069	0.2343113287582803
0.07	0.2343540532999597
0.071	0.23422805374939962
0.072	0.2342221486756666
0.073	0.23426215870481173
0.074	0.23393514217816372
0.075	0.23399025463423007
0.076	0.23392543536014568
0.077	0.23391354206517387
0.078	0.2339891049648231
0.079	0.23399548455032054
0.08	0.23409235366362535
0.081	0.2341611876830741
0.082	0.23421794031073637
0.083	0.23427294326394935
0.084	0.2343496710981705
0.085	0.2344050708024246
0.086	0.23411011595053713
0.087	0.2342381440025612
0.088	0.23418553224698346
0.089	0.2303978564611488
0.09	0.23041994824025508
0.091	0.2309274811658944
0.092	0.23055971579625575
0.093	0.23106867764128058
0.094	0.23045392279991012
0.095	0.22980803452673837
0.096	0.22841509245608818
0.097	0.22739846908546962
0.098	0.22673676088924544
0.099	0.22590737804625352
0.1	0.22488840137942737
0.101	0.22419244437730357
0.102	0.2235925616947628
0.103	0.22288989011681104
0.104	0.22112324666886826
0.105	0.21953725674390756
0.106	0.21840253807014198
0.107	0.21745094576640206
0.108	0.21633058645432132
0.109	0.21401503591928242
0.11	0.2136135671648193
0.111	0.21267190579654202
0.112	0.21044104984382223
0.113	0.20982270329960054
0.114	0.20931420478160936
0.115	0.2090130716927732
0.116	0.20849931578669945
0.117	0.20829478448066005
0.118	0.20659829217010492
0.119	0.2062587385457621
0.12	0.2059822478849438
0.121	0.20593677695992585
0.122	0.20550354681570823
0.123	0.20538693303502997
0.124	0.20461308782554005
0.125	0.20347275963304803
0.126	0.20281179980461736
0.127	0.20272418015084473
0.128	0.2022752789416067
0.129	0.2020322421712405
0.13	0.2017997365634707
0.131	0.20175404376989112
0.132	0.19896512483432294
0.133	0.1988134592749558
0.134	0.19740245244551127
0.135	0.1963737870530895
0.136	0.19634842103469788
0.137	0.19631522408468982
0.138	0.19498900268955238
0.139	0.19493020786683465
0.14	0.19472681586327384
0.141	0.19463477584163408
0.142	0.19462125257696986
0.143	0.1946280964105999
0.144	0.1941300164054236
0.145	0.19407334938152365
0.146	0.19350118373672637
0.147	0.19267731578424302
0.148	0.19313014143826004
0.149	0.1930160291155608
0.15	0.19289491177329918
0.151	0.19285431140989895
0.152	0.19295792201006978
0.153	0.1930492609490714
0.154	0.19308899010561045
0.155	0.1930227616901592
0.156	0.19304083487954557
0.157	0.19305833153152174
0.158	0.19313340244373214
0.159	0.19313679356116556
0.16	0.1932797889937836
0.161	0.19331342604358953
0.162	0.19338489403556697
0.163	0.1934488800557292
0.164	0.1934378058548326
0.165	0.19350722147269017
0.166	0.19358303146691727
0.167	0.19315583431429018
0.168	0.1936207099684762
0.169	0.19364973328902696
0.17	0.19241141981952056
0.171	0.19038996038113692
0.172	0.1894614534949046
0.173	0.1891562095951671
0.174	0.18862137292806452
0.175	0.18863575254755682
0.176	0.18868319857190227
0.177	0.1883249140336175
0.178	0.1883127866393956
0.179	0.18726201841289464
0.18	0.18730965677523503
0.181	0.18729090089244416
0.182	0.18735381735900433
0.183	0.18733234078478417
0.184	0.18734432019083638
0.185	0.187374175167993
0.186	0.18724585268492136
0.187	0.1873341154102777
0.188	0.18747435374736315
0.189	0.18597906938097705
0.19	0.18507131461083556
0.191	0.18512037214597912
0.192	0.18455824849539576
0.193	0.1847163984840371
0.194	0.18379940959700536
0.195	0.18425662205868945
0.196	0.183793078891301
0.197	0.18380590205231942
0.198	0.1834744314433109
0.199	0.18352599869228295
0.2	0.1835904570325041
0.201	0.18405058349123218
0.202	0.1841063135615493
0.203	0.1818786247928746
0.204	0.17671430951118844
0.205	0.17715943371650628
0.206	0.17619852445709722
0.207	0.17664347022592827
0.208	0.17709010352612026
0.209	0.17656289451185286
0.21	0.17701045571467125
0.211	0.17745972083069833
0.212	0.17748837890967276
0.213	0.1775847446990891
0.214	0.17617871699835824
0.215	0.1757713293624614
0.216	0.17561701870592758
0.217	0.17519495861710097
0.218	0.1736476552295293
0.219	0.1736152363342628
0.22	0.17299083496587966
0.221	0.172618572290106
0.222	0.17264019820905796
0.223	0.1730851471735143
0.224	0.17241194786036806
0.225	0.1722619375193824
0.226	0.1720538509314537
0.227	0.17180506819844407
0.228	0.17183957285908388
0.229	0.17155044259281457
0.23	0.1714371650746678
0.231	0.17134418858718561
0.232	0.1710245838129713
0.233	0.17063038731414823
0.234	0.17016084026669204
0.235	0.17017336854250759
0.236	0.17028667719928156
0.237	0.1701963070673192
0.238	0.17028210764061688
0.239	0.16971252706189247
0.24	0.1692299169191038
0.241	0.16933671803585149
0.242	0.16921192743907087
0.243	0.16965608332128274
0.244	0.16962382256231737
0.245	0.16962931998703018
0.246	0.1692513711487066
0.247	0.1689910569500111
0.248	0.16882598446096617
0.249	0.16879523438500413
0.25	0.169245955972147
0.251	0.1692331899850841
0.252	0.16917803199013418
0.253	0.1692270746545756
0.254	0.1692571514844042
0.255	0.16933120425477866
0.256	0.1697870083039167
0.257	0.16992963833663827
0.258	0.16993605607472984
0.259	0.1698964622138909
0.26	0.16989938921564882
0.261	0.16913264459047556
0.262	0.16892733451917052
0.263	0.16888384945743645
0.264	0.1686511374376297
0.265	0.16862731664033195
0.266	0.1685370942942044
0.267	0.16899757815839622
0.268	0.16874909997979148
0.269	0.16921142628110597
0.27	0.16917672447003623
0.271	0.16914835763183214
0.272	0.16915754569393138
0.273	0.16931171970835354
0.274	0.16774498304923408
0.275	0.16820836698030933
0.276	0.16866571368778363
0.277	0.16868165521790515
0.278	0.16868642288379204
0.279	0.1686602914277459
0.28	0.16854262602773468
0.281	0.1684662449194236
0.282	0.1683457528370791
0.283	0.16881599237014355
0.284	0.16852360189634633
0.285	0.16849218890519152
0.286	0.16304213013159455
0.287	0.16218656366135564
0.288	0.16204269305789382
0.289	0.1616072649175946
0.29	0.16113521332097275
0.291	0.16093350879920845
0.292	0.15906225933064064
0.293	0.15951286063186057
0.294	0.1594807430614778
0.295	0.15937296036806328
0.296	0.159826368505668
0.297	0.15969943753301888
0.298	0.16014457155732595
0.299	0.15789591098575387
0.3	0.15779586793706218
0.301	0.15671741780199216
0.302	0.15571102099785017
0.303	0.15553235243798402
0.304	0.15597234741013113
0.305	0.1551479111052115
0.306	0.15479454912273022
0.307	0.15209163434413983
0.308	0.15208906929539126
0.309	0.14987230643006902
0.31	0.1503073494095467
0.311	0.15074428937876053
0.312	0.1507759978545859
0.313	0.15068923592753256
0.314	0.15038396701933168
0.315	0.15029141320775746
0.316	0.14980569587004203
0.317	0.15024071512818493
0.318	0.15019741295675135
0.319	0.14999208500940805
0.32	0.15043388791076123
0.321	0.1508776456922089
0.322	0.15087850686257162
0.323	0.150878627379595
0.324	0.1507250877541695
0.325	0.15061623116303607
0.326	0.14954546182256595
0.327	0.14948043061483043
0.328	0.14947786287419781
0.329	0.14805428545594948
0.33	0.14791780507476465
0.331	0.1478912063205684
0.332	0.14833465821358358
0.333	0.14824755626801497
0.334	0.14810636866974647
0.335	0.14807110509792867
0.336	0.1459662144962653
0.337	0.14276451416359087
0.338	0.14273732687900637
0.339	0.14316986423318517
0.34	0.14319153020614386
0.341	0.14253178961067525
0.342	0.1414267327289469
0.343	0.1418579117921449
0.344	0.14157393671415178
0.345	0.140895163020902
0.346	0.14132669491376845
0.347	0.13776545794807896
0.348	0.13589121675885305
0.349	0.135815706031782
0.35	0.13508414491497447
0.351	0.1314540776626366
0.352	0.12942034993099108
0.353	0.1290939591201637
0.354	0.1281510238095024
0.355	0.12725313860448426
0.356	0.1266791564496558
0.357	0.126609227030796
0.358	0.1260506482214673
0.359	0.12291814992414753
0.36	0.12279714786180299
0.361	0.11799635834028793
0.362	0.1180142628457102
0.363	0.11761417416073455
0.364	0.11763903262217049
0.365	0.11753083209587667
0.366	0.11256663489451704
0.367	0.11083621489346583
0.368	0.10985621765986239
0.369	0.10951625135078845
0.37	0.10873504048931501
0.371	0.10871424879839442
0.372	0.10792620509417458
0.373	0.10787008494172522
0.374	0.10743670996660946
0.375	0.1074174629031656
0.376	0.10776230227043099
0.377	0.10756956931797036
0.378	0.10791600915474321
0.379	0.1080110229380084
0.38	0.10836000847254156
0.381	0.10407983335013865
0.382	0.10331812368142208
0.383	0.10116042625516723
0.384	0.10087100805228284
0.385	0.10119957811108507
0.386	0.101529756179963
0.387	0.10077078253098244
0.388	0.09977646982205743
0.389	0.0985540808643873
0.39	0.09853282099720292
0.391	0.09854853108185317
0.392	0.09843090119113243
0.393	0.0976096442588306
0.394	0.09764666444009013
0.395	0.097273715571432
0.396	0.09715913852376748
0.397	0.09747641680858803
0.398	0.09736561624111964
0.399	0.09766567208523612
0.4	0.09687591303222151
0.401	0.09657104783521947
0.402	0.09657297667607914
0.403	0.09689142612171693
0.404	0.0968247024690235
0.405	0.09575912399215486
0.406	0.09513874332563624
0.407	0.09480135333254
0.408	0.09479299440106428
0.409	0.09477971066992741
0.41	0.09478287004884323
0.411	0.0942746856474789
0.412	0.09310274541590649
0.413	0.09220693970443401
0.414	0.09201582137020424
0.415	0.09064503477338356
0.416	0.08916838080772885
0.417	0.08836722681531449
0.418	0.0881261444629489
0.419	0.08840381449242476
0.42	0.08870918172728634
0.421	0.0890161339131939
0.422	0.08847312901738132
0.423	0.08829149050233054
0.424	0.08727180894396129
0.425	0.08724678819565598
0.426	0.08754523366831549
0.427	0.08724455544624535
0.428	0.08660658365935014
0.429	0.08650418059487504
0.43	0.08595819962181275
0.431	0.08396062996241503
0.432	0.08199759107651688
0.433	0.08200612825997092
0.434	0.08172446996091161
0.435	0.08165125565782164
0.436	0.08193501482660483
0.437	0.08222027751661319
0.438	0.08193531244725623
0.439	0.08179283899527258
0.44	0.08151913758264986
0.441	0.07941952504178608
0.442	0.07805756440813108
0.443	0.07771999561925466
0.444	0.07707638975916735
0.445	0.0765701897430044
0.446	0.07684711628818705
0.447	0.07679167695218413
0.448	0.07596908683771178
0.449	0.07574327215290547
0.45	0.0760192039275973
0.451	0.07629664627769801
0.452	0.0765756102494629
0.453	0.07601165145515443
0.454	0.07601250285245796
0.455	0.07597242404132326
0.456	0.07539953945099097
0.457	0.0753511550841998
0.458	0.07562971757989001
0.459	0.0756106621949682
0.46	0.07562271236299171
0.461	0.07093333656042997
0.462	0.06828004981830978
0.463	0.06782993109478709
0.464	0.06642351134173541
0.465	0.0658539777685039
0.466	0.0657655541970966
0.467	0.06415860510820526
0.468	0.06393387669445957
0.469	0.06417513660651414
0.47	0.06387318003440501
0.471	0.06273506526404862
0.472	0.06141281012502498
0.473	0.060851280044631875
0.474	0.05960424807637707
0.475	0.05857208520104358
0.476	0.058540405356906064
0.477	0.05816016243911475
0.478	0.057611491850118844
0.479	0.05485169227344148
0.48	0.05378609461640168
0.481	0.053993762935383924
0.482	0.05369959053369625
0.483	0.05390023144283155
0.484	0.054102026576605185
0.485	0.054312540298693146
0.486	0.054209247858168344
0.487	0.05405806103138896
0.488	0.05313237400112636
0.489	0.052905127004169265
0.49	0.05258352570460509
0.491	0.05164104070403037
0.492	0.05184475289615672
0.493	0.05103361093419175
0.494	0.050873486604667825
0.495	0.05029841328190887
0.496	0.05049051779999152
0.497	0.04589790938587301
0.498	0.044630175980173485
0.499	0.04480869668409418
0.5	0.044980274626715715
0.501	0.044867899052708105
0.502	0.04482756507271702
0.503	0.0438262696156165
0.504	0.043092452384557306
0.505	0.04303165744871902
0.506	0.04319801593127772
0.507	0.043116001932596765
0.508	0.042695328440808984
0.509	0.04267423719045112
0.51	0.04243936162003183
0.511	0.04260491232431452
0.512	0.042771465638468294
0.513	0.04292635450847901
0.514	0.042881311712692764
0.515	0.04304572711850889
0.516	0.041474431001337325
0.517	0.040596414762517206
0.518	0.04050590786502504
0.519	0.037710465383831805
0.52	0.037867920354119206
0.521	0.03777899075339332
0.522	0.03792862153135633
0.523	0.03786464540683298
0.524	0.03749858398010799
0.525	0.03765680585344178
0.526	0.03781603124817092
0.527	0.03795984507128924
0.528	0.03767740465461596
0.529	0.03531427126014528
0.53	0.03546486516743801
0.531	0.03561642442029031
0.532	0.03574760501744031
0.533	0.03590102821494005
0.534	0.035616858972958174
0.535	0.03497195859952437
0.536	0.03438693046289471
0.537	0.03374548817084995
0.538	0.03363229788596064
0.539	0.03357137002982993
0.54	0.03256414818351495
0.541	0.03250476885715967
0.542	0.031007654593104342
0.543	0.031143653078161818
0.544	0.029696779257744173
0.545	0.02981307915184569
0.546	0.029912288578979603
0.547	0.029619056573322363
0.548	0.029750404939501176
0.549	0.029882628961454515
0.55	0.030005837900159343
0.551	0.02589951878749065
0.552	0.026015400303318347
0.553	0.026132061291225604
0.554	0.026038706762868433
0.555	0.02457093717057611
0.556	0.02447552749984521
0.557	0.02458627649305718
0.558	0.024697778880780796
0.559	0.024810041512057072
0.56	0.02085462749761497
0.561	0.020814292972206747
0.562	0.02089387940441708
0.563	0.020942486728118402
0.564	0.02097638167219508
0.565	0.02106245324407287
0.566	0.017172675846737626
0.567	0.017252178975657707
0.568	0.016538067045440637
0.569	0.016392374908683616
0.57	0.016468796236929227
0.571	0.016545753228690577
0.572	0.016155059756018664
0.573	0.01623090510698589
0.574	0.015950365798116647
0.575	0.016014504593501778
0.576	0.015022073842598323
0.577	0.015072727645855198
0.578	0.015144332052723869
0.579	0.013027536909925558
0.58	0.012714862261026342
0.581	0.012775698922562351
0.582	0.012819762146428796
0.583	0.011860500357134858
0.584	0.011852977590860929
