Fraction_of_nodes	Efficiency
0.001	0.29148223039480786
0.002	0.2873001435852561
0.003	0.2831063471555339
0.004	0.27931232948242196
0.005	0.27581379158120967
0.006	0.27251983101991445
0.007	0.2686994493347382
0.008	0.2666583690639588
0.009	0.2640033461345444
0.01	0.26140577619042077
0.011	0.25920506329417
0.012	0.2571477476932811
0.013	0.2545694629057595
0.014	0.25260957735293094
0.015	0.25070947586028036
0.016	0.24979952947879497
0.017	0.24859326127513642
0.018	0.24735063678799826
0.019	0.2457220102271763
0.02	0.24361540851741936
0.021	0.24205834950130053
0.022	0.2402137067656493
0.023	0.238514193782283
0.024	0.2366141069025597
0.025	0.23489689768897482
0.026	0.2335510362206414
0.027	0.23244838495685483
0.028	0.2308389007604113
0.029	0.22951116834406723
0.03	0.22831391446197277
0.031	0.22670633076220065
0.032	0.2253882805964934
0.033	0.22438550224491374
0.034	0.22279263185943435
0.035	0.22212652871682823
0.036	0.22078844483689594
0.037	0.2200371008791727
0.038	0.21883152892608906
0.039	0.21766870069020433
0.04	0.2163215875369239
0.041	0.21489281625698756
0.042	0.21390176918295026
0.043	0.212545681513749
0.044	0.21203756441128074
0.045	0.21112552465414872
0.046	0.21051343094560712
0.047	0.20942460579958735
0.048	0.20806801514919268
0.049	0.2054346811654361
0.05	0.20445095263678992
0.051	0.2014654617074326
0.052	0.20055032114850754
0.053	0.19958311604890064
0.054	0.19831165029889977
0.055	0.19711961938177058
0.056	0.19647205354458397
0.057	0.19467890566028956
0.058	0.1937957751506725
0.059	0.19345062422483128
0.06	0.19288255044661734
0.061	0.19174422228911264
0.062	0.18972226357165095
0.063	0.18902681282869305
0.064	0.18810420887320925
0.065	0.18661979165904494
0.066	0.1859954102312251
0.067	0.1844816645068772
0.068	0.18288464058747192
0.069	0.1816773429999091
0.07	0.18087557088512485
0.071	0.17986156289514466
0.072	0.17919219386914992
0.073	0.17846587072488784
0.074	0.17713854461599066
0.075	0.17618229740318295
0.076	0.17488942228332097
0.077	0.17427138588466573
0.078	0.1732249522376788
0.079	0.17225461038754034
0.08	0.17137858316771606
0.081	0.1699238127287632
0.082	0.16894973622649534
0.083	0.16782317775899405
0.084	0.16655636254776982
0.085	0.16495276792697353
0.086	0.16429933642126232
0.087	0.1634142144286613
0.088	0.1625312074784009
0.089	0.16175514801206914
0.09	0.16098903147952492
0.091	0.16035678276136678
0.092	0.15909069893933941
0.093	0.15778339385594417
0.094	0.15456987847963818
0.095	0.153646697449351
0.096	0.15115935436538674
0.097	0.14971478873043428
0.098	0.14901408446831615
0.099	0.14844707826126463
0.1	0.14763680580949307
0.101	0.1460443757149589
0.102	0.1449762680750522
0.103	0.14383635844080192
0.104	0.14250629547643368
0.105	0.14061802884067753
0.106	0.1401903587462695
0.107	0.13914517253775777
0.108	0.13878637182901096
0.109	0.13811931007496403
0.11	0.13626584681779888
0.111	0.1353972839528787
0.112	0.1344488171365859
0.113	0.13376728179461367
0.114	0.132589304786711
0.115	0.13121317810415434
0.116	0.12998109405082572
0.117	0.12940284202054161
0.118	0.12908227853049362
0.119	0.1283257675359423
0.12	0.1275166322631016
0.121	0.1265485955243664
0.122	0.12502961730804735
0.123	0.12421937857259549
0.124	0.1216374224200172
0.125	0.12104003321846853
0.126	0.12078202877251883
0.127	0.11929505368640789
0.128	0.11824007547676109
0.129	0.11781209235394101
0.13	0.11738548978639471
0.131	0.11712133928412706
0.132	0.11625622545679429
0.133	0.1156012494456367
0.134	0.11476910123228676
0.135	0.11366283332304394
0.136	0.11233073019358306
0.137	0.11144483164188183
0.138	0.11091941639289364
0.139	0.11023074584940308
0.14	0.10996186821062091
0.141	0.10941818968422493
0.142	0.10787815633970972
0.143	0.1052543482301588
0.144	0.10463060430845712
0.145	0.10325872877978866
0.146	0.10267637638587712
0.147	0.10194593168168317
0.148	0.10073007623095481
0.149	0.09963219930751495
0.15	0.09898785813392585
0.151	0.09831958994952036
0.152	0.09608443550627487
0.153	0.09526943333714068
0.154	0.09389684217709109
0.155	0.09382289895355957
0.156	0.09309289997655397
0.157	0.09161124319249715
0.158	0.09083628463242888
0.159	0.09024405394476046
0.16	0.08958321315798747
0.161	0.08924512326708543
0.162	0.08875774253791371
0.163	0.0884194985029367
0.164	0.08742930048663568
0.165	0.08684485288692674
0.166	0.0864025364176062
0.167	0.0862495986433389
0.168	0.08554419590923579
0.169	0.0849109527482698
0.17	0.08472284278728719
0.171	0.08301334269179796
0.172	0.08204765687865923
0.173	0.08114361389361162
0.174	0.07982776786969997
0.175	0.07895452631228908
0.176	0.07803547295134144
0.177	0.07643155749192863
0.178	0.07474963749413494
0.179	0.07376035594167474
0.18	0.07286613798602547
0.181	0.07197531001763348
0.182	0.07105444569268664
0.183	0.07083395848224822
0.184	0.07048664080042251
0.185	0.07021521867136296
0.186	0.07006600282598355
0.187	0.06987174121419314
0.188	0.06941194828395998
0.189	0.0691129047360007
0.19	0.0689297877706052
0.191	0.06873700608167918
0.192	0.06712790870382976
0.193	0.06655426774598083
0.194	0.06634819792966726
0.195	0.0651971716518428
0.196	0.06511106135178481
0.197	0.06473273377796768
0.198	0.06429175833189328
0.199	0.06354416366880743
0.2	0.06291978000347732
0.201	0.061769119531897745
0.202	0.061471841848872694
0.203	0.06095813509426214
0.204	0.05983013973904264
0.205	0.05871515147003584
0.206	0.057100637285003496
0.207	0.056201387812750386
0.208	0.05592693739346283
0.209	0.055257097884629375
0.21	0.05516696801413878
0.211	0.052646509707182675
0.212	0.05138083433993567
0.213	0.05017909362242843
0.214	0.04890612214263949
0.215	0.04811113646200371
0.216	0.04761967614279952
0.217	0.047071554647293026
0.218	0.045047508178061454
0.219	0.04443541867802433
0.22	0.04392302622704951
0.221	0.042142988382345925
0.222	0.040195177013212194
0.223	0.04029048029619072
0.224	0.039422435659210574
0.225	0.039263306164549476
0.226	0.03913201582879436
0.227	0.03817212591298824
0.228	0.037552222155054445
0.229	0.03653968492208468
0.23	0.03636639763627916
0.231	0.03359512265810001
0.232	0.03343915229440319
0.233	0.03330887102859711
0.234	0.0324399475447619
0.235	0.03203040908345249
0.236	0.03021271546831325
0.237	0.02991726571274116
0.238	0.028281107345229973
0.239	0.027656222472156836
0.24	0.026334161311866517
0.241	0.02638104854522695
0.242	0.025454265849349924
0.243	0.02521530397797716
0.244	0.024548761323574062
0.245	0.0237004005874736
0.246	0.023251086768603768
0.247	0.0199450836781748
0.248	0.019900148560950577
0.249	0.017891982224015276
0.25	0.017927890202064863
0.251	0.017131386495196303
0.252	0.016640917218142696
0.253	0.0166714741141639
0.254	0.01638914633417496
0.255	0.01584724417865739
0.256	0.015427523780743926
0.257	0.015376126471574334
0.258	0.015227406618131748
0.259	0.015237498319037673
0.26	0.015125531332215435
0.261	0.014949093695659617
0.262	0.014984145455145254
0.263	0.014910039356157628
0.264	0.014943832818272345
0.265	0.014963544214052656
0.266	0.014581878484883525
0.267	0.014144323679588818
0.268	0.014043440511044274
0.269	0.014050058411138334
0.27	0.014010201881482531
0.271	0.014036129706134194
0.272	0.01405465244658267
0.273	0.013083439261748556
0.274	0.013106865664601052
0.275	0.013139262226257872
0.276	0.013098458967447917
0.277	0.01265660820582614
0.278	0.012659764043009515
0.279	0.012070422587358078
0.28	0.012098203085978457
0.281	0.01212415451193302
0.282	0.011786630372300672
0.283	0.011808515791231176
0.284	0.011819929488044039
0.285	0.011480812819198898
0.286	0.011307180582597451
0.287	0.011287923525674605
0.288	0.011272859292478255
0.289	0.010389651708982076
0.29	0.010297809021125629
0.291	0.010165865667497373
0.292	0.009741371525832583
0.293	0.009006640290342557
0.294	0.009015448364512523
0.295	0.008749663075381688
0.296	0.008740946762737793
0.297	0.008759770791520438
0.298	0.00812294228695321
0.299	0.007734929585570407
0.3	0.006761800663322821
0.301	0.006770244293383764
0.302	0.006777886393789988
0.303	0.006649942975249477
0.304	0.006658742943457414
0.305	0.006635430382951965
0.306	0.00656810139703901
0.307	0.006493677972644251
0.308	0.005495861882595719
0.309	0.005423414850431533
0.31	0.005415267095621492
0.311	0.0054197581526059
0.312	0.005387701145836627
0.313	0.005334296332588821
0.314	0.005341003974268388
0.315	0.005318769160850855
0.316	0.005327922269795835
0.317	0.005332311669003244
0.318	0.005318545916659255
0.319	0.00505854608538372
0.32	0.005038287680598975
0.321	0.005038668528721945
0.322	0.004993618977786494
0.323	0.004941281518608386
0.324	0.004943503622370149
0.325	0.004810625481615259
0.326	0.004796382627535931
0.327	0.004804024164666805
0.328	0.004789512704508983
0.329	0.004754058513577166
0.33	0.0047682709456057975
0.331	0.004778071851697696
0.332	0.004785665743360853
0.333	0.004086407832331786
0.334	0.004098697780699701
0.335	0.004106513860164169
0.336	0.0040989774789721885
0.337	0.0040782321894264565
0.338	0.003609524876264039
0.339	0.003615878408300946
0.34	0.00361543304303744
0.341	0.0034432339987062726
0.342	0.003449089332526062
0.343	0.0034474623186826633
0.344	0.0034316127032218047
0.345	0.003430434779093647
0.346	0.003425330934744085
0.347	0.0034248771901911226
0.348	0.003370108276140052
0.349	0.0033070716553524064
0.35	0.003286446298358116
0.351	0.0031818412421762347
0.352	0.0031805460897710077
0.353	0.0031404681878887714
0.354	0.0031330862107015944
0.355	0.003121149384691207
0.356	0.003099463480127686
0.357	0.0030970069025475244
0.358	0.002984975152805798
0.359	0.0029149163802049995
0.36	0.0028844037852253897
0.361	0.002874231481086833
0.362	0.0028758739749719297
0.363	0.002713419155467682
0.364	0.002717013146369863
0.365	0.0026833575828831657
0.366	0.0026691607469636184
0.367	0.0026501113076492634
0.368	0.0026052430142783117
0.369	0.0026084825601843296
0.37	0.0026092060265729836
0.371	0.002596419194395976
0.372	0.0026047012332935707
0.373	0.00259542100806605
0.374	0.0025866869516709885
0.375	0.0025400162800162914
0.376	0.002499886082349977
0.377	0.002498462082184667
0.378	0.0024371133730843038
0.379	0.002386831275720173
0.38	0.002389331851002609
0.381	0.0023839938563027883
0.382	0.00237860872311944
0.383	0.0023810693178602507
0.384	0.002354497354497363
0.385	0.0023542220221333676
0.386	0.0023236440047020865
0.387	0.0022574905135759886
0.388	0.0022595314418426705
0.389	0.0022445809819371092
0.39	0.0022384930355535274
0.391	0.00222155004369161
0.392	0.002223450581423361
0.393	0.0021991628048032763
0.394	0.002188249127943104
0.395	0.002187285254714521
0.396	0.002176235574640905
0.397	0.002133092557217784
0.398	0.00208638628354385
0.399	0.002028561304351657
0.4	0.0020029657012127825
0.401	0.001963920242573072
0.402	0.0019340855860410177
0.403	0.0019321443872892415
0.404	0.0019198395241765633
0.405	0.0019121565573479694
0.406	0.0018535619856586715
0.407	0.0018055116969535202
0.408	0.0017603512686000015
0.409	0.0017503540462329092
0.41	0.0017505422934043714
0.411	0.0017324348285680208
0.412	0.0017296457805966571
0.413	0.001693208753171194
0.414	0.0016844121622278628
0.415	0.001690180697030013
0.416	0.001690104717372746
0.417	0.0016900182529437546
0.418	0.0016692198346651204
0.419	0.0016601380893030244
0.42	0.0016460206856847908
0.421	0.0016169548180950716
0.422	0.0016075672801488816
0.423	0.0016071313948263675
0.424	0.001598933172302736
0.425	0.0015630965005302205
0.426	0.0015624714960687357
0.427	0.0015618325827749886
0.428	0.001551994415391961
0.429	0.001551295050235042
0.43	0.001550581198162363
0.431	0.0015446958258042668
0.432	0.0015228200478591694
0.433	0.0015052463423095518
0.434	0.0015043205436901278
0.435	0.0015033787317726291
0.436	0.001499271464503313
0.437	0.001491964964844744
0.438	0.0014972839130260086
0.439	0.0014814107461166267
0.44	0.0014803220035778154
0.441	0.0014792159578356106
0.442	0.0014684401202035976
0.443	0.0014292695107827546
0.444	0.0013420614859463772
0.445	0.0013306447241465283
0.446	0.0013256648452919522
0.447	0.0013140882843689658
0.448	0.0013188581148022471
0.449	0.001323653962492437
0.45	0.001290942208974995
0.451	0.0012856819964633765
0.452	0.0012903828447136997
0.453	0.0012727877444513637
0.454	0.0012707374175264078
0.455	0.0012600062960964194
0.456	0.0012420783230419233
0.457	0.0012285399097084885
0.458	0.001233081646897799
0.459	0.001227379566874329
0.46	0.0012015850111088198
0.461	0.0012060518698861762
0.462	0.0012036210162936496
0.463	0.0012011636417539853
0.464	0.001195192262984144
0.465	0.0011722496412195035
0.466	0.0011766483265524097
0.467	0.0011740185360211031
0.468	0.0011784404514110132
0.469	0.001165120989233557
0.47	0.0011588258372864427
0.471	0.001145314200607206
0.472	0.0011424731182795697
0.473	0.0011335897047399846
0.474	0.0011270444806566475
0.475	0.0011313461771477035
0.476	0.0011174278360797704
0.477	0.0010814170140338792
0.478	0.0010745373740939294
0.479	0.0010402824942172349
0.48	0.0010368805889037103
0.481	0.0010334446750631721
0.482	0.00101877229536804
0.483	0.0010114754671904597
0.484	0.0010154035272572188
0.485	0.0010117990757180814
0.486	0.0010018380726278878
0.487	0.0009981369801819366
0.488	0.0009701922292889761
0.489	0.0009739969046979525
0.49	0.0009585628619489711
0.491	0.0009623367314842032
0.492	0.000958367630081743
0.493	0.0009426656583847221
0.494	0.0009463989877248597
0.495	0.0009193776520509195
0.496	0.0009230332291962511
0.497	0.0009069091427530436
0.498	0.0009105295385324969
0.499	0.0009061876247504991
0.5	0.000901803607214429
0.501	0.0008973770834842376
0.502	0.0008929076466833129
0.503	0.0008883948854416825
0.504	0.000883838383838384
0.505	0.0008792377213429846
0.506	0.0008745924727562393
0.507	0.0008781477267105329
0.508	0.0008610269402083024
0.509	0.0008437590922315975
0.51	0.0008193870595272875
0.511	0.0008227452032138747
0.512	0.0008261240336172171
0.513	0.0008295237209983579
0.514	0.000824459434615983
0.515	0.0008278662917838176
0.516	0.0008184612927695932
0.517	0.0008003802880223592
0.518	0.0007950817079447785
0.519	0.0007854007854007854
0.52	0.0007799814428206913
0.521	0.0007745098895595485
0.522	0.0007777573104801336
0.523	0.0007810251983392939
0.524	0.00077546808196963
0.525	0.0007698571322821823
0.526	0.0007731123421438406
0.527	0.0007539924272285329
0.528	0.0007481977281178405
0.529	0.0007423469003628917
0.53	0.0007364393836289677
0.531	0.0006879521804894939
0.532	0.0006771719833818335
0.533	0.0006708880535975223
0.534	0.0006737735936129955
0.535	0.0006766777901371895
0.536	0.000665636404260073
0.537	0.0006685179471356578
0.538	0.000662027776995239
0.539	0.0006413279260586626
0.54	0.000634649995263806
0.541	0.0006374213926230366
0.542	0.0006402109829627435
0.543	0.000633421628469423
0.544	0.0006362058993637941
0.545	0.000614803698504139
0.546	0.0006077933697036886
0.547	0.0006104827208970677
0.548	0.0005984734022722368
0.549	0.0005912786400591279
0.55	0.0005939123979213066
0.551	0.0005866210626789692
0.552	0.0005792585490572067
0.553	0.0005818561210260731
0.554	0.000584471204716078
0.555	0.0005769814758578804
0.556	0.0005694181766416529
0.557	0.0005617805378793295
0.558	0.0005540677809585373
0.559	0.0005462791177076892
0.56	0.0005487678608407537
0.561	0.0005512736501596614
0.562	0.0005537966416935728
0.563	0.0005563369932609745
0.564	0.0005483496783718233
0.565	0.0005508766354150114
0.566	0.0005534211002437182
0.567	0.0005452912496792404
0.568	0.0005370800034373121
0.569	0.0005287864889656289
