Fraction_of_nodes	Efficiency
0.001	0.2993671694418488
0.002	0.2992758502640929
0.003	0.2992238764498462
0.004	0.2991471076949877
0.005	0.29908196246278235
0.006	0.2990126391121879
0.007	0.2989930183338893
0.008	0.29896491135398273
0.009	0.29892497120677863
0.01	0.29883363462865725
0.011	0.2988051085570902
0.012	0.29874143214140503
0.013	0.2987275761381646
0.014	0.298727841216587
0.015	0.2987113270892341
0.016	0.298656978941439
0.017	0.2986078680418321
0.018	0.29857070490160725
0.019	0.29852392741128914
0.02	0.29855325787247194
0.021	0.2985250241450983
0.022	0.29850435266901054
0.023	0.2985221221999752
0.024	0.29858074120922595
0.025	0.2985394268078114
0.026	0.2984606272168979
0.027	0.29838739238032563
0.028	0.2984154330184939
0.029	0.298382933244206
0.03	0.29835289152886163
0.031	0.2983785576011275
0.032	0.298440264259195
0.033	0.29836520283368784
0.034	0.2984597560598285
0.035	0.2984474591348126
0.036	0.298488076824621
0.037	0.2984401727407763
0.038	0.298507704856802
0.039	0.2985332841962558
0.04	0.29851527198626504
0.041	0.2985220411268092
0.042	0.2984621973839361
0.043	0.2985323586479217
0.044	0.2984802514857467
0.045	0.29846528441077946
0.046	0.29853938755483395
0.047	0.29860550201353997
0.048	0.29864358466997803
0.049	0.298743557106794
0.05	0.2986146821231658
0.051	0.2985230955986003
0.052	0.29841775865023734
0.053	0.2983468063922183
0.054	0.29828092665467365
0.055	0.2981614130288927
0.056	0.29809879966136893
0.057	0.29801401018884904
0.058	0.29792585623418244
0.059	0.2978750537019081
0.06	0.29786331467928523
0.061	0.29782973161140375
0.062	0.29780917034148097
0.063	0.2978071115627947
0.064	0.29773892774060107
0.065	0.29768450343123265
0.066	0.29773293918994986
0.067	0.297766484659733
0.068	0.2977565003881222
0.069	0.2976927341411496
0.07	0.2975954797829637
0.071	0.2975651268838411
0.072	0.29748063367347094
0.073	0.2974364380962877
0.074	0.2973349288829886
0.075	0.2973510393526562
0.076	0.29732016809643064
0.077	0.29720801028590865
0.078	0.29715794316595934
0.079	0.29723610914572113
0.08	0.29721735976566843
0.081	0.2972459092063624
0.082	0.297117031716731
0.083	0.29710899093619736
0.084	0.29687474646398465
0.085	0.296734424636779
0.086	0.2967127311729282
0.087	0.2965401878662691
0.088	0.2964429631998986
0.089	0.29634162032781247
0.09	0.2963079421510779
0.091	0.2962048627785758
0.092	0.2962001774434378
0.093	0.2961965758935671
0.094	0.29612027856190076
0.095	0.29608325592160456
0.096	0.29604248539109784
0.097	0.29600367175675274
0.098	0.2960883571114993
0.099	0.29598881900919916
0.1	0.2959948502466351
