Fraction_of_nodes	Efficiency
0.001	0.29148223039480786
0.002	0.2873001435852561
0.003	0.2831063471555339
0.004	0.28006498355402576
0.005	0.27797124455451155
0.006	0.2747300568402777
0.007	0.27056300304324277
0.008	0.2666583690639588
0.009	0.2640033461345444
0.01	0.26140577619042077
0.011	0.26054973223101197
0.012	0.2588940397151259
0.013	0.2565662312878767
0.014	0.2539566206337746
0.015	0.2520015633279392
0.016	0.2508940115942537
0.017	0.24934038927690202
0.018	0.24791096705757257
0.019	0.24555170774863916
0.02	0.24385538816121766
0.021	0.24368916228539828
0.022	0.24172487483658492
0.023	0.24079154771461436
0.024	0.23943991573254064
0.025	0.23899532994356704
0.026	0.23677021254544134
0.027	0.23667729627656997
0.028	0.23520864543457248
0.029	0.23461579219197654
0.03	0.2335227192718105
0.031	0.23334713688430256
0.032	0.2314155027504229
0.033	0.23135448845181533
0.034	0.23087325681576856
0.035	0.22901384286275747
0.036	0.22835053144427092
0.037	0.2281264661339339
0.038	0.2274857018105415
0.039	0.22705500041663274
0.04	0.22752852492219403
0.041	0.2271561923444466
0.042	0.2269635570304573
0.043	0.22675783520473852
0.044	0.22641905349662644
0.045	0.22640808095808762
0.046	0.2253895476337081
0.047	0.22523577724307495
0.048	0.22462483854495635
0.049	0.22373602425373604
0.05	0.22233777101793234
0.051	0.22197340996641793
0.052	0.2220255280954669
0.053	0.2212428852341627
0.054	0.22030641097916495
0.055	0.2187194000333302
0.056	0.21809926736774976
0.057	0.21719951519005018
0.058	0.21653149868537913
0.059	0.2154021613250508
0.06	0.2127085093442117
0.061	0.21272394286200574
0.062	0.2107611341797602
0.063	0.21028219708468376
0.064	0.20988215216218636
0.065	0.20976988861922508
0.066	0.2094333133957156
0.067	0.2094085244531704
0.068	0.20823831113708932
0.069	0.20831250370147963
0.07	0.2083919433569068
0.071	0.207572841234139
0.072	0.20766892055514616
0.073	0.2074433610734675
0.074	0.20747128523204822
0.075	0.20741828656163683
0.076	0.20743073902076564
0.077	0.20548880262728195
0.078	0.20515546269879864
0.079	0.20522682815477516
0.08	0.20459230831527792
0.081	0.20441362370111812
0.082	0.20443408641500824
0.083	0.20341511864766748
0.084	0.20305285502865947
0.085	0.20206502856677672
0.086	0.2017469292624675
0.087	0.20157034598791543
0.088	0.20129569113816703
0.089	0.20076542557362081
0.09	0.1993474219219499
0.091	0.19878258488765244
0.092	0.1982805031499419
0.093	0.19634781357387665
0.094	0.1959615684647949
0.095	0.19604063374049793
0.096	0.19574162348138174
0.097	0.19571394949494383
0.098	0.19614838667473283
0.099	0.1960282934343042
0.1	0.19610584578787776
0.101	0.19484506036961396
0.102	0.194921542311997
0.103	0.19535663504037196
0.104	0.1953691235732382
0.105	0.19552114159526912
0.106	0.19522491505431203
0.107	0.19537684279897782
0.108	0.1958153991240036
0.109	0.19531499071591144
0.11	0.19285119802901657
0.111	0.19284780869431542
0.112	0.1928938193453801
0.113	0.1928871480226879
0.114	0.1928622810803537
0.115	0.1932960646495339
0.116	0.19320818727089412
0.117	0.1928373714995183
0.118	0.19288253366719896
0.119	0.190366197323773
0.12	0.19036625467586749
0.121	0.1902576610697289
0.122	0.1895322657173234
0.123	0.1895566498682333
0.124	0.1894305691987834
0.125	0.18949826464253786
0.126	0.18955144747656033
0.127	0.18959916269188062
0.128	0.1896271890253089
0.129	0.18943078744049094
0.13	0.18861508227968343
0.131	0.1877457446894604
0.132	0.1877293849411353
0.133	0.18770905977771352
0.134	0.18664117352294868
0.135	0.1866799483683152
0.136	0.18463817999431742
0.137	0.18432772449245158
0.138	0.18444309834902525
0.139	0.18258122646640645
0.14	0.18247243981293187
0.141	0.18243352368101354
0.142	0.18249608965080377
0.143	0.1823584606486345
0.144	0.18181823002440722
0.145	0.18168108482327186
0.146	0.18182369423227432
0.147	0.18014956005178093
0.148	0.17847689019580512
0.149	0.1764469610553497
0.15	0.17686261938527986
0.151	0.17617207545401015
0.152	0.1754443436564137
0.153	0.17539663062482905
0.154	0.17534971967879526
0.155	0.1754649816016182
0.156	0.17515604080376004
0.157	0.17517976254219175
0.158	0.17441539817413224
0.159	0.17321535839765867
0.16	0.1736282674760798
0.161	0.1719252652470801
0.162	0.1700258835149879
0.163	0.1694762281824724
0.164	0.16919300018888594
0.165	0.1692034450067868
0.166	0.1691628240950668
0.167	0.16826317656248838
0.168	0.16827804789038803
0.169	0.16816508596847932
0.17	0.16857079184536344
0.171	0.16593037615016515
0.172	0.16633165880107245
0.173	0.16673439889502178
0.174	0.166196462752166
0.175	0.1633485293837381
0.176	0.16226420246283757
0.177	0.1605696028072725
0.178	0.16040478468254452
0.179	0.16013297768583767
0.18	0.16052402280839162
0.181	0.1605681846854766
0.182	0.15909013340891
0.183	0.15671303727938798
0.184	0.15643145548832613
0.185	0.15648058170891843
0.186	0.1565279784078899
0.187	0.15655707740159097
0.188	0.15405315774603526
0.189	0.15404797153358832
0.19	0.15328763352019734
0.191	0.15333627379828893
0.192	0.15371628934673576
0.193	0.1537337774252774
0.194	0.1527108852468239
0.195	0.15308767293145578
0.196	0.15346896227873214
0.197	0.15355282515292235
0.198	0.15334082339764465
0.199	0.15372417545613878
0.2	0.15380734407008453
0.201	0.153562399683485
0.202	0.15394775074919012
0.203	0.1543345541430323
0.204	0.15351601282552532
0.205	0.15390270303415385
0.206	0.15384681409151746
0.207	0.15385784569407557
0.208	0.15378295714463042
0.209	0.15319840656130632
0.21	0.1531086865865592
0.211	0.15226685102457974
0.212	0.15230815008861118
0.213	0.1523141400792875
0.214	0.1505560627936117
0.215	0.14821915577656844
0.216	0.14819967180904964
0.217	0.14763801997352255
0.218	0.1475924780936738
0.219	0.14629037868287612
0.22	0.14627032896743022
0.221	0.14586222078617725
0.222	0.1458315131984416
0.223	0.1456653437563397
0.224	0.14440975052001087
0.225	0.14409021293327395
0.226	0.14357558408783383
0.227	0.1435765687075427
0.228	0.14345528381722142
0.229	0.14182640181891878
0.23	0.14191459854144997
0.231	0.14143552257488332
0.232	0.14124539134047323
0.233	0.1404259209714308
0.234	0.139749613881179
0.235	0.1397508570032892
0.236	0.14011717641876312
0.237	0.1364801996170879
0.238	0.13626548350443254
0.239	0.13554906615064735
0.24	0.1354583814395549
0.241	0.13581579141696798
0.242	0.13615544757216336
0.243	0.1365156471689151
0.244	0.136530218248973
0.245	0.13594196307536166
0.246	0.13630303070637192
0.247	0.13472678399147692
0.248	0.13508557702474316
0.249	0.134311959394565
0.25	0.13423905556167098
0.251	0.13343446032651887
0.252	0.13283533941316103
0.253	0.13280542879465151
0.254	0.13316195343571097
0.255	0.13351991567612956
0.256	0.13347986689894129
0.257	0.13342020651871442
0.258	0.1337803150383331
0.259	0.13373000642604366
0.26	0.13303223447372756
0.261	0.13295102272175943
0.262	0.1327921599188933
0.263	0.13289918136685672
0.264	0.13294972704581276
0.265	0.13331198788244986
0.266	0.13367573136916866
0.267	0.13370294084603204
0.268	0.13364666154161817
0.269	0.13311785008194352
0.27	0.13311742621963144
0.271	0.13316677366444607
0.272	0.13319440153987228
0.273	0.1333349658928047
0.274	0.13330827160625283
0.275	0.13284882693593147
0.276	0.13321632023312632
0.277	0.13285796803595248
0.278	0.13165062630523708
0.279	0.13036958555745773
0.28	0.129991404250847
0.281	0.1300260031620125
0.282	0.13038869773150205
0.283	0.12963953825410363
0.284	0.12920854310304666
0.285	0.129241363499952
0.286	0.12873955853043992
0.287	0.12862760072002938
0.288	0.12855624503615212
0.289	0.1279879781608366
0.29	0.12794694717063523
0.291	0.12830837922478958
0.292	0.12764771074214332
0.293	0.12763615089249472
0.294	0.12747221816942458
0.295	0.12752559824760423
0.296	0.12729548539833596
0.297	0.12730225284084887
0.298	0.12724454561726445
0.299	0.12698678876874075
0.3	0.1273460397482549
0.301	0.12713085888760872
0.302	0.12717967090001175
0.303	0.12590197220249433
0.304	0.12592472326861748
0.305	0.12571916764554247
0.306	0.12467533627507896
0.307	0.12020512752913609
0.308	0.12011719197653477
0.309	0.12046116303153079
0.31	0.11967825464356942
0.311	0.1196455184279048
0.312	0.11842928079704464
0.313	0.11877455566817305
0.314	0.11823129040109896
0.315	0.11719952422279739
0.316	0.1171715708219099
0.317	0.11643314262256453
0.318	0.11640902276178862
0.319	0.11592157215659066
0.32	0.11555681279028389
0.321	0.11234078894784351
0.322	0.11151216799073455
0.323	0.108092103632738
0.324	0.10766152745438134
0.325	0.10762826684780837
0.326	0.10723831879753476
0.327	0.10715902287453632
0.328	0.10711726557829235
0.329	0.10706635640856771
0.33	0.10701735106645294
0.331	0.10692122041039759
0.332	0.10657964049662563
0.333	0.10451128274329811
0.334	0.10435948926163041
0.335	0.10213678279701532
0.336	0.10244034466338232
0.337	0.10204803759627806
0.338	0.10186716156828617
0.339	0.10217584993667492
0.34	0.09976537151635083
0.341	0.09801736109608386
0.342	0.09757378667103074
0.343	0.09786430704190968
0.344	0.09704502033613571
0.345	0.09733712523760019
0.346	0.0972490194072226
0.347	0.09754732928270488
0.348	0.09784701385807416
0.349	0.09786528793701763
0.35	0.09816687588135357
0.351	0.0980234934478479
0.352	0.0980516279769282
0.353	0.09803432147799061
0.354	0.0980205333767465
0.355	0.09676127395504557
0.356	0.09613191151338017
0.357	0.09643138787323495
0.358	0.09646733727470164
0.359	0.09602502540290621
0.36	0.0957016550480783
0.361	0.09471886915029915
0.362	0.09459153852421961
0.363	0.09459551175055157
0.364	0.09315552662870533
0.365	0.09274728350389418
0.366	0.09303534036467663
0.367	0.09238196489999498
0.368	0.09266725348059197
0.369	0.09296143523767322
0.37	0.0918647383112078
0.371	0.09149915187926448
0.372	0.09015551709169241
0.373	0.0867776655114897
0.374	0.086307437984669
0.375	0.0862609513618936
0.376	0.08603667916200322
0.377	0.08458557934051272
0.378	0.08485281883261807
0.379	0.08480810132604759
0.38	0.08432748605821075
0.381	0.0835680436544786
0.382	0.08383892872305065
0.383	0.08370194891717431
0.384	0.08061240374394993
0.385	0.08087498486363706
0.386	0.08040600045062664
0.387	0.07937567528026802
0.388	0.07929838999735155
0.389	0.07955838471865434
0.39	0.0791860116468166
0.391	0.07842007401494716
0.392	0.07836468175065572
0.393	0.07828099731373202
0.394	0.07853977747014104
0.395	0.07851074934337442
0.396	0.07876565853144839
0.397	0.07901356458310849
0.398	0.07682366952829846
0.399	0.07551551973358488
0.4	0.07487787708787258
0.401	0.0746411927506095
0.402	0.07489124699768022
0.403	0.0751425599070684
0.404	0.07538950010054105
0.405	0.07468234053563559
0.406	0.07492854235301213
0.407	0.07518167932042095
0.408	0.07444217426810297
0.409	0.07469452062155417
0.41	0.07494815227052379
0.411	0.07409342300962174
0.412	0.07166382844396178
0.413	0.07155539706742108
0.414	0.07118205346131377
0.415	0.0714258276170032
0.416	0.07107806061106003
0.417	0.07061324753369816
0.418	0.07085632239612052
0.419	0.06908671090765253
0.42	0.06872841540999869
0.421	0.06736731447914149
0.422	0.06698678744146168
0.423	0.06694533996476609
0.424	0.06717819332116527
0.425	0.06597952680916624
0.426	0.06594710030487777
0.427	0.06588361983076689
0.428	0.06529720131933146
0.429	0.06489841805980376
0.43	0.0638098003922808
0.431	0.06377751745728612
0.432	0.06263594665831626
0.433	0.0625307818973533
0.434	0.06274274864149103
0.435	0.06206031786026817
0.436	0.061978914470597286
0.437	0.06218999851354814
0.438	0.06241170973819537
0.439	0.06236583012113657
0.44	0.062191700827311513
0.441	0.05568620540203406
0.442	0.05554775695751411
0.443	0.05444285241478442
0.444	0.054386291025895483
0.445	0.05435828305257269
0.446	0.054548348979881665
0.447	0.054309908185313185
0.448	0.054507040338435925
0.449	0.0543918087364627
0.45	0.05432696388763473
0.451	0.052711412259842695
0.452	0.052881901061301674
0.453	0.0517907047593072
0.454	0.05178778740209298
0.455	0.05173211480179226
0.456	0.05192265666109905
0.457	0.05162574598422149
0.458	0.05158406418153142
0.459	0.05170724274665729
0.46	0.05091222888477315
0.461	0.0507847974840661
0.462	0.05097394011901606
0.463	0.051164141388116875
0.464	0.05102882365287229
0.465	0.051219942842583424
0.466	0.04762286157493563
0.467	0.04738809940427714
0.468	0.04727994937104089
0.469	0.04693550829089314
0.47	0.0468438762578234
0.471	0.047014154731647606
0.472	0.04684603053753382
0.473	0.04701693737149081
0.474	0.03929547426503913
0.475	0.03944545699124157
0.476	0.03958900215393631
0.477	0.03846991431842583
0.478	0.038617591532700016
0.479	0.03780086621351143
0.48	0.0379465342914055
0.481	0.03790671904269683
0.482	0.03676982327809428
0.483	0.03624835683768768
0.484	0.03638160100212093
0.485	0.0362997925878362
0.486	0.03590983902879112
0.487	0.036042497315080205
0.488	0.036149164378935734
0.489	0.035308407790522724
0.49	0.03423123607562129
0.491	0.03436600472158831
0.492	0.03450157081516459
0.493	0.03460740634881311
0.494	0.03469304098675983
0.495	0.03460289715578328
0.496	0.03241436520218504
0.497	0.0325435060994049
0.498	0.03178341717839267
0.499	0.031697060275506714
0.5	0.03182410260126025
0.501	0.03192575351109623
0.502	0.03114993013508544
0.503	0.031074140632503727
0.504	0.031199692715867377
0.505	0.031127394193347698
0.506	0.029060399529133838
0.507	0.029170285715976164
0.508	0.02928082651186525
0.509	0.029362932050892885
0.51	0.02948302584251208
0.511	0.029575920896852275
0.512	0.029471840287080334
0.513	0.028984454195682366
0.514	0.029103977718138788
0.515	0.028943328840603546
0.516	0.028660672510629523
0.517	0.028580675987024233
0.518	0.02869951455661685
0.519	0.028391662247123996
0.52	0.028510207809742467
0.521	0.027833271788445673
0.522	0.027949973137663474
0.523	0.027767554864134167
0.524	0.027180224314680992
0.525	0.027294908805460236
0.526	0.02723177296156531
0.527	0.02732476601537634
0.528	0.027276542202522104
0.529	0.026932266905667673
0.53	0.027047116657930647
0.531	0.02711759847697254
0.532	0.027063693895171676
0.533	0.025554988339499384
0.534	0.02566490226784132
0.535	0.025766257287813038
0.536	0.0258775586151902
0.537	0.02598958267845942
0.538	0.026102335748647964
0.539	0.026193817814542445
0.54	0.0262665893360734
0.541	0.026381290599549707
0.542	0.026496744825368304
0.543	0.026612958618462024
0.544	0.026729938656345376
0.545	0.02683800974206584
0.546	0.026956499851302333
0.547	0.02653855451281441
0.548	0.02665624211597545
0.549	0.026491469929967072
0.55	0.026609472023196325
0.551	0.01913816031654236
0.552	0.018899330104969747
0.553	0.018950640457229332
0.554	0.019025734785278147
0.555	0.018998187675705654
0.556	0.01908395827469304
0.557	0.018898306143614742
0.558	0.01898401274744066
0.559	0.01602874803346133
0.56	0.01608624077662473
0.561	0.01588457629691954
0.562	0.015941601096748702
0.563	0.016004230782883096
0.564	0.016077813453149226
0.565	0.015864483115694446
0.566	0.015889867963367537
0.567	0.01568404887935502
0.568	0.01574071628843686
0.569	0.015813928922336566
0.57	0.01588765353269711
0.571	0.015951002370088202
0.572	0.01593245527579386
0.573	0.01587641148933045
0.574	0.01559852805036342
0.575	0.01566100723373085
0.576	0.015735054549256763
0.577	0.015772281250219202
0.578	0.01584720895212048
0.579	0.015922671851892483
0.58	0.015998675058822756
0.581	0.016008964582720674
0.582	0.015423441469007156
0.583	0.015472612613928637
