Fraction_of_nodes	Efficiency
0.001	0.29148223039480786
0.002	0.2873264080834851
0.003	0.2831063471555339
0.004	0.27931232948242196
0.005	0.27581379158120967
0.006	0.27251983101991445
0.007	0.2686994493347382
0.008	0.2661345833721926
0.009	0.2640033461345444
0.01	0.26140577619042077
0.011	0.25894411010227375
0.012	0.2569368388257402
0.013	0.2545694629057595
0.014	0.252727652939561
0.015	0.25070947586028036
0.016	0.2491756467594405
0.017	0.2474673809349804
0.018	0.24628326379054932
0.019	0.2442422301689262
0.02	0.24281154239193198
0.021	0.2412826927078411
0.022	0.2402137067656493
0.023	0.23836700892742974
0.024	0.23669033274107712
0.025	0.23489689768897482
0.026	0.2333912034783491
0.027	0.23184999661452105
0.028	0.23067820827920216
0.029	0.22921880922262297
0.03	0.22793188499978229
0.031	0.2266472802704291
0.032	0.2256863490135335
0.033	0.22408583879386873
0.034	0.22276907153545705
0.035	0.22145482710344333
0.036	0.22041511353211612
0.037	0.21968552544970874
0.038	0.21888894074209772
0.039	0.216303160392399
0.04	0.21496888551733995
0.041	0.2136046370564979
0.042	0.21211407035037974
0.043	0.21073061256186712
0.044	0.21023655223656948
0.045	0.20875363714212322
0.046	0.20723662393790646
0.047	0.20632778644922287
0.048	0.20540672192524928
0.049	0.20438723781118404
0.05	0.20325698950626547
0.051	0.20183000125178563
0.052	0.20055830385467652
0.053	0.1992862591031342
0.054	0.19810711864130556
0.055	0.19687110014600848
0.056	0.19586726972808646
0.057	0.19499297324224546
0.058	0.19407349852486327
0.059	0.19206970242430976
0.06	0.19137155546220494
0.061	0.19067272108409777
0.062	0.19005410711307857
0.063	0.18862080238126547
0.064	0.1867555513921172
0.065	0.18602077688254579
0.066	0.18524261744625917
0.067	0.1843145597127566
0.068	0.1831246414721142
0.069	0.18215491970509454
0.07	0.18099560114943236
0.071	0.18034682302282282
0.072	0.17890908894124388
0.073	0.1776312728692972
0.074	0.17600814940133985
0.075	0.17558710297680777
0.076	0.17433293459580881
0.077	0.17313302561361663
