Fraction_of_nodes	Efficiency
0.001	0.29148223039480786
0.002	0.2873264080834851
0.003	0.2831063471555339
0.004	0.27931232948242196
0.005	0.27581379158120967
0.006	0.27251983101991445
0.007	0.2686994493347382
0.008	0.2661345833721926
0.009	0.2640033461345444
0.01	0.26140577619042077
0.011	0.25894411010227375
0.012	0.2566855969731785
0.013	0.2545694629057595
0.014	0.252727652939561
0.015	0.25070947586028036
0.016	0.2491756467594405
0.017	0.2474673809349804
0.018	0.24551190889120453
0.019	0.2442422301689262
0.02	0.24324690959294548
0.021	0.2417874398314606
0.022	0.2402137067656493
0.023	0.23836700892742974
0.024	0.23669033274107712
0.025	0.23489689768897482
0.026	0.2333912034783491
0.027	0.23184999661452105
0.028	0.23067820827920216
0.029	0.22921880922262297
0.03	0.22796096855702375
0.031	0.2266472802704291
0.032	0.2256863490135335
0.033	0.22408583879386873
0.034	0.22342940169844602
0.035	0.22208532757117422
0.036	0.22074558421281568
0.037	0.21968552544970874
0.038	0.21888894074209772
0.039	0.216303160392399
0.04	0.21496888551733995
0.041	0.21451440152817117
0.042	0.21348540130205876
0.043	0.2120828677574045
0.044	0.21018309133912208
0.045	0.20875363714212322
0.046	0.20723662393790646
0.047	0.20624714733802557
0.048	0.20531942359897706
0.049	0.20438723781118404
0.05	0.20325698950626547
0.051	0.202002515207476
0.052	0.2007216477938489
0.053	0.1992862591031342
0.054	0.19810711864130556
0.055	0.19727911950361804
0.056	0.1962487687858837
0.057	0.19499297324224546
0.058	0.19431556311556783
0.059	0.19371293294488479
0.06	0.19276924163117326
0.061	0.19134929444319343
0.062	0.19063832579457737
0.063	0.18862080238126547
0.064	0.18787170004839024
0.065	0.18598890978137375
0.066	0.18524261744625917
0.067	0.18430615640939024
0.068	0.1833546039243294
0.069	0.18215491970509454
0.07	0.1809464917425326
0.071	0.1797508446324264
0.072	0.17847651428704658
0.073	0.17752386356601876
0.074	0.17600814940133985
0.075	0.17516500097028362
0.076	0.1747399882153257
0.077	0.1744033862925011
