Fraction_of_nodes	Efficiency
0.001	0.29148223039480786
0.002	0.2873264080834851
0.003	0.2831063471555339
0.004	0.27931232948242196
0.005	0.27581379158120967
0.006	0.27233576011483224
0.007	0.2686994493347382
0.008	0.2661345833721926
0.009	0.2640033461345444
0.01	0.26140577619042077
0.011	0.25894411010227375
0.012	0.2569368388257402
0.013	0.2545694629057595
0.014	0.25260957735293094
0.015	0.25070947586028036
0.016	0.2491247254447497
0.017	0.2474673809349804
0.018	0.24551190889120453
0.019	0.2442422301689262
0.02	0.24247280764709594
0.021	0.24101745196042235
0.022	0.23934454873392008
0.023	0.2377465385245247
0.024	0.2366445627096625
0.025	0.23489689768897482
0.026	0.2333912034783491
0.027	0.23227808783601342
0.028	0.23087322206287372
0.029	0.22921880922262297
0.03	0.22793188499978229
0.031	0.2264558124987412
0.032	0.22538481112560022
0.033	0.2240796603411804
0.034	0.2229453546591601
0.035	0.22161709783233394
0.036	0.2203249578071743
0.037	0.21894518358783427
0.038	0.2178685864178463
0.039	0.21639614010649594
0.04	0.21561238196699795
0.041	0.21478362212903887
0.042	0.21211407035037974
0.043	0.21130176419890095
0.044	0.2098396529495033
0.045	0.2083451779451008
0.046	0.2073200515408636
0.047	0.20583921396530044
0.048	0.2052941400891365
0.049	0.20431572007537263
0.05	0.20325698950626547
0.051	0.20183000125178563
0.052	0.20056647429846858
0.053	0.1992862591031342
0.054	0.19831165029889977
0.055	0.19751213880847068
0.056	0.19589868617158784
0.057	0.19502552226484532
0.058	0.19430699995881273
0.059	0.19334911372985003
0.06	0.19151697176338894
0.061	0.19081791883788624
0.062	0.18880566865540632
0.063	0.1873653027301875
0.064	0.1861324602735051
0.065	0.1853827438936837
0.066	0.1847194838186082
0.067	0.18397478537521403
0.068	0.18302683893161695
0.069	0.18184415016248706
0.07	0.18078904619131778
0.071	0.17951631569674914
0.072	0.17911217434077736
0.073	0.17784118244143074
0.074	0.17755647899936683
0.075	0.1766494903508905
0.076	0.1757753276058027
0.077	0.17512337902096162
