seed	Spearman	Pearson
1	-0.8085255041168847	-0.7386056483264052
2	-0.8401353319218338	-0.7189732904571922
3	-0.8128687532302571	-0.7438886637432861
4	-0.8060390951345876	-0.7135441811886507
5	-0.866439328488704	-0.7385377614862608
6	-0.8377087932769978	-0.724261456466883
7	-0.7712049939396703	-0.7324148731634798
8	-0.8331248021049708	-0.7506117764434808
9	-0.8501805846736705	-0.7385900341960471
10	-0.8653699756876685	-0.7527517253763019
11	-0.8613582271238214	-0.7063850829142458
12	-0.8464218111555942	-0.7113613650891578
13	-0.8288400949284273	-0.73607127589871
14	-0.8595445018129249	-0.7412774411044766
15	-0.8515640192956401	-0.7543509819582792
16	-0.8581814414696187	-0.7580507380038742
17	-0.8540591227590177	-0.7496044673540018
18	-0.835497106458407	-0.728477474636019
19	-0.8246378669365146	-0.6952182984127926
20	-0.8555836693085523	-0.7408310079329722
21	-0.8192012255908535	-0.7198546719732691
22	-0.8635206210893909	-0.7404619897881639
23	-0.8647292317192983	-0.74925528336351
24	-0.8479003445139083	-0.7471767236480718
25	-0.8447837954662181	-0.7401875218367666
26	-0.8588198185076787	-0.7411818323796299
27	-0.8634064353249619	-0.7249732429543467
28	-0.8033611921301109	-0.7239312910712845
29	-0.8804786077882971	-0.7539883187937404
30	-0.8462024742551738	-0.7308693173774133
31	-0.8390698429102528	-0.7253824503995443
32	-0.8560468895848503	-0.7434459995770656
33	-0.8634967054930051	-0.7485755351872796
34	-0.8601006834383095	-0.7218198289148505
35	-0.8321344432092104	-0.730758093490378
36	-0.8566550702331752	-0.7467439754398644
37	-0.8499897227177231	-0.7248978206358199
38	-0.8387957961867626	-0.7360318185508492
39	-0.8563775204314926	-0.7171611270207492
40	-0.8702350662126012	-0.7540914176634876
41	-0.8590357356792259	-0.6950401994407581
42	-0.8615439056812897	-0.7420350043552891
43	-0.8544714054266604	-0.74221732922128
44	-0.8724626613841369	-0.7455783061081487
45	-0.8403337610699777	-0.751485483321074
46	-0.8581710899308101	-0.7455102137985434
47	-0.8432212530601925	-0.744795658155712
48	-0.8643598470945749	-0.7217012133567744
49	-0.8586984901860055	-0.7226350325439683
50	-0.8509379896951863	-0.7238683783675054
51	-0.8746592243804521	-0.7126055664691682
52	-0.854041895129478	-0.7630991351020939
53	-0.8452113287555415	-0.7131735480727238
54	-0.8208179050954921	-0.7256874630577248
55	-0.8387447856662777	-0.7345951196941902
56	-0.8208172817844724	-0.7487217957825592
57	-0.8358933992397841	-0.7443742924549372
58	-0.8551020378609906	-0.7375257653256926
59	-0.8501099988395333	-0.7138198161358666
60	-0.8658201114770019	-0.7222418921870837
61	-0.7944886961051241	-0.740659684558024
62	-0.8308322295170543	-0.7449765461216222
63	-0.8241359315920567	-0.7319413370077803
64	-0.8534964662212969	-0.7419924154481765
65	-0.8444926469471012	-0.7460094751854841
66	-0.840171193115943	-0.7099415722752551
67	-0.8559692069394946	-0.6967899229970678
68	-0.799065448768847	-0.7086170488073216
69	-0.8658004185028181	-0.7469575021107823
70	-0.8524346539955021	-0.7085501559657156
71	-0.847518231618422	-0.7538393659420936
72	-0.8306952004592048	-0.7326426166854122
73	-0.8236709603530649	-0.7221344687530339
74	-0.8075437649376671	-0.7371325536048157
75	-0.8671726720341052	-0.7235069597874374
76	-0.8170762537208252	-0.729069071302003
77	-0.8151586396477781	-0.7282626036413231
78	-0.848236608177638	-0.7163192849642818
79	-0.8461789869317549	-0.7208307081338141
80	-0.8186007533989749	-0.7084854723344159
81	-0.8596779598525002	-0.724396972771026
82	-0.8580796651763398	-0.710562102201972
83	-0.8451070165374821	-0.7245082123271662
84	-0.8373790728240745	-0.7340406546995311
85	-0.8448026738133222	-0.7302527526001
86	-0.7947914979839638	-0.7298959672344174
87	-0.8390698713205401	-0.7413975942021127
88	-0.8640430188543262	-0.7261590802791855
89	-0.8296825296090573	-0.7322331383362781
90	-0.7950528874161701	-0.7179296931552814
91	-0.8216417566363953	-0.7237382182687777
92	-0.8565863318264333	-0.7114686307169658
93	-0.8708335549231976	-0.7297723035010573
94	-0.8350798992740506	-0.737626740915957
95	-0.8710760335743031	-0.742719608461631
96	-0.8587298071832896	-0.7460046042164463
97	-0.8422519919267946	-0.7633506869166059
98	-0.8493716866901554	-0.773816283268997
99	-0.8166881350935579	-0.7424033895288483
100	-0.8187916100690595	-0.7554621914028665
