seed	Spearman	Pearson
1	-0.36285905558650905	-0.2618269591751653
2	-0.334766785779304	-0.21761462807977694
3	-0.26286982642399914	-0.1275716595013276
4	-0.40254024836513635	-0.2983755895784801
5	-0.46487894722890183	-0.35681862596326464
6	-0.410398892419692	-0.3358764012014852
7	-0.2617088597912916	-0.1543474753819261
8	-0.4056760979747946	-0.28389569804306686
9	-0.43126665255101154	-0.31499784380140894
10	-0.42513828164985834	-0.3146834937466821
11	-0.41454678465896955	-0.3241650940717244
12	-0.40393838413713234	-0.2789643551313805
13	-0.39639595622543894	-0.32651011909504635
14	-0.352923634300939	-0.2514694412317246
15	-0.4002032268906397	-0.2796326311289427
16	-0.45110014902343265	-0.29310125715057744
17	-0.39831712804984676	-0.305492105449691
18	-0.4602414877178318	-0.3333098560468877
19	-0.33071659457806735	-0.20134603319278965
20	-0.36436281908537876	-0.22899581163016983
21	-0.3811433421879838	-0.2584915131084011
22	-0.45521753990568964	-0.35870332988460224
23	-0.40550072245413854	-0.2918754593657403
24	-0.4122571802228302	-0.27912968075737854
25	-0.3901899519971026	-0.24627299627906413
26	-0.3727768190390884	-0.23770345993147007
27	-0.42340547231959463	-0.3035564699319371
28	-0.3473105421310608	-0.2274760735148549
29	-0.47088458350923257	-0.3331218048192175
30	-0.41444019484487826	-0.30279226776049784
31	-0.38605670291544836	-0.23634276833472093
32	-0.4126209380541275	-0.30211924007312474
33	-0.44398519417342824	-0.32218146924249436
34	-0.3477091515713257	-0.22472106079150717
35	-0.36356857023229733	-0.26312261005303644
36	-0.4867362673820317	-0.3706911281333034
37	-0.3887490368672557	-0.28413890815470577
38	-0.42905532804805496	-0.313441617485758
39	-0.4152865800940696	-0.2982808290481438
40	-0.46051137221743144	-0.34053517929719457
41	-0.3810634928056389	-0.28711473299438756
42	-0.41148856016050805	-0.28071880211640243
43	-0.4472799802024123	-0.3376078893599657
44	-0.45071495883410584	-0.3339168242785534
45	-0.37536167090206307	-0.24556409761718107
46	-0.4158974186909562	-0.2986245331533743
47	-0.3790556899457176	-0.2532786077435191
48	-0.46822481606371785	-0.35724344052294466
49	-0.4134601657616882	-0.290950043817777
50	-0.37069403567299	-0.2673801582096424
51	-0.4369593934131911	-0.3412505699504473
52	-0.40930635081934624	-0.28713942032792017
53	-0.37486183943876566	-0.269202590395368
54	-0.3809441394321477	-0.2695068616381484
55	-0.319474561410643	-0.18970207846984116
56	-0.32348372010584625	-0.2260347854158799
57	-0.3745071064171453	-0.26602104958045186
58	-0.4060365407460695	-0.2710053185950785
59	-0.3304581987595742	-0.2125347714221167
60	-0.44279683196950465	-0.34590307158011935
61	-0.35615463798892466	-0.29604865365391897
62	-0.3584525411593903	-0.23126317599140025
63	-0.3715885421171453	-0.24537025383713157
64	-0.4139799948795162	-0.27160143987120877
65	-0.3736341024604104	-0.25179473841124467
66	-0.3955251116984423	-0.3112645633701985
67	-0.47194517317414586	-0.3770246647401937
68	-0.31725171720676365	-0.20816431178161166
69	-0.3791307855676567	-0.27288732211584577
70	-0.39229777572279334	-0.30373975752846855
71	-0.36479347628723957	-0.2662746117929258
72	-0.35481977581098845	-0.2108080922322913
73	-0.3504233017557352	-0.24630050743228749
74	-0.31323660727536456	-0.2202708322751367
75	-0.44688400661315325	-0.37118405409751776
76	-0.32421148679565925	-0.20059657612106982
77	-0.33739620955386834	-0.22804072922165855
78	-0.3913185461891703	-0.2579129505045721
79	-0.42980443937547713	-0.3525369782837261
80	-0.3664810675812403	-0.25934029967899797
81	-0.41278639496402036	-0.3021500184970641
82	-0.45044097352895823	-0.3441558517733496
83	-0.4566652551731666	-0.34542401925578076
84	-0.41653898545314844	-0.29097113939355773
85	-0.3866983445176158	-0.2483546170050411
86	-0.3075039018837184	-0.17374394130375567
87	-0.39547638906704385	-0.28406308936372393
88	-0.46822100058035215	-0.39017657132954475
89	-0.3576961917895489	-0.2587030025745057
90	-0.31257100779000246	-0.18661354351545306
91	-0.4005820543264925	-0.2934363899785991
92	-0.36616846153812016	-0.26466670210319587
93	-0.48357177285363545	-0.34932132047052367
94	-0.35175699423959556	-0.25772073796559547
95	-0.4383933688314073	-0.3271361867250982
96	-0.3652894311931965	-0.25784703443459794
97	-0.43055379362474805	-0.31270158605508913
98	-0.4635194791445457	-0.32642601990042797
99	-0.3641333219762884	-0.24263982145482127
100	-0.3404898154292397	-0.23552040843490757
