seed	Spearman	Pearson
1	-0.9301166469135864	-0.8798983970400044
2	-0.9339960911655173	-0.8944192630089495
3	-0.9332733918644786	-0.8891265741110166
4	-0.9358259508330388	-0.8934044636240842
5	-0.9333377064909669	-0.8885705771528847
6	-0.9288491608957478	-0.8759027956697036
7	-0.927230775178543	-0.899889082837856
8	-0.9304357997415134	-0.8897797835182277
9	-0.9251217202699643	-0.890187792343166
10	-0.9333602894638842	-0.8905333633009791
11	-0.9360498811816417	-0.8980790079671801
12	-0.9326258730976683	-0.8784413702287912
13	-0.9405787326932727	-0.9005131880290203
14	-0.9317330253560621	-0.8915665881017385
15	-0.9323996136373596	-0.8988849950804427
16	-0.9292516142322037	-0.8906893418519972
17	-0.9308851331130581	-0.8871892706850579
18	-0.9334170771788156	-0.8889784250555932
19	-0.9320384202572406	-0.8907943422129745
20	-0.9377249437643923	-0.897295058277839
21	-0.9309956680634925	-0.8748800368650437
22	-0.9423099006794828	-0.9020431834116003
23	-0.9364965518189077	-0.8949952239193959
24	-0.9367451449183142	-0.9085957027279518
25	-0.9251171396759941	-0.8957472332607852
26	-0.9288852561908945	-0.8842014188887865
27	-0.9252879881592143	-0.8822940454174077
28	-0.9304582448267539	-0.893212669700239
29	-0.9246547683035888	-0.8743167879012399
30	-0.9352206466695736	-0.9032567422901091
31	-0.9238564703573745	-0.8821921620206739
32	-0.9437245405010567	-0.9003844894237587
33	-0.9278338261924794	-0.8847482935215963
34	-0.9340520127784074	-0.891291260218169
35	-0.9305822506654178	-0.8904957750622602
36	-0.9334339413080611	-0.8905373422150092
37	-0.9405161290088633	-0.9047402099081767
38	-0.9232672927181659	-0.8847211971464168
39	-0.9335973234882344	-0.8888003878846706
40	-0.9292429481293375	-0.8895811490978288
41	-0.9307353611168391	-0.8861554371122072
42	-0.922779547920103	-0.8836540480307451
43	-0.9369077371517376	-0.8883391809926686
44	-0.9377791867788136	-0.8982590533626182
45	-0.9358707345612095	-0.8948257732859175
46	-0.9336967322043598	-0.8808681258601023
47	-0.9226281380079622	-0.8810517186970193
48	-0.9388358978617847	-0.9008326143573688
49	-0.9315469451242142	-0.8955194324537862
50	-0.9316184468997837	-0.8933466455636123
51	-0.9353690669597445	-0.898266609938119
52	-0.9310463402234184	-0.8947931134854017
53	-0.9217583384406036	-0.8705157184877006
54	-0.9404630207677595	-0.9038214114237912
55	-0.9412959629711657	-0.8996720598615613
56	-0.9394306854353855	-0.9071194269544767
57	-0.9283065363156121	-0.8898177055320737
58	-0.9285313613823662	-0.8974507998723602
59	-0.9408558018692553	-0.8937342465620743
60	-0.9316943040159912	-0.8868797131763642
61	-0.9269755279667425	-0.8858373135962894
62	-0.9256171336131517	-0.8782883412570113
63	-0.932759995381827	-0.8942272895981007
64	-0.9324726667095544	-0.8824405129328712
65	-0.9282537391256066	-0.8960094319461842
66	-0.9395844766387975	-0.8927757181332208
67	-0.9438264865133489	-0.9026808980908907
68	-0.9260649384619308	-0.8875405714519969
69	-0.9292429520959592	-0.8858405432423445
70	-0.9361443832227087	-0.8922893739817817
71	-0.9408627422817664	-0.9062038581383962
72	-0.9225513874081436	-0.888631981059972
73	-0.9360303862022046	-0.8911789002317467
74	-0.9319383321032947	-0.8860908354852105
75	-0.9291332457060133	-0.8871788113190571
76	-0.9281367592151532	-0.8823647346568047
77	-0.9355475967180967	-0.8922836796181977
78	-0.9205637560153321	-0.869833120427328
79	-0.9317897172850598	-0.8837688744040351
80	-0.9356388477222968	-0.8988189696257551
81	-0.9448782849068926	-0.9080740862368124
82	-0.9216692013634912	-0.8928209285497334
83	-0.927777332148701	-0.8795697816044821
84	-0.9316017092636185	-0.8855316013442621
85	-0.9274743943915238	-0.8888327565030932
86	-0.932114631633314	-0.8923717018992001
87	-0.9420986878680662	-0.8936057558235391
88	-0.9235417580298796	-0.875081583295146
89	-0.936528528865168	-0.8943789578571716
90	-0.9311082898961788	-0.8917262087515482
91	-0.9235107317820541	-0.8893189712531072
92	-0.9276691649249702	-0.8874724938632521
93	-0.9290704257889659	-0.894457675833997
94	-0.9321448440045975	-0.9016482523681082
95	-0.9404209217683117	-0.8984857066608968
96	-0.9342944463502586	-0.8773892718993531
97	-0.9343673408493852	-0.889069014954982
98	-0.9334186854374414	-0.8995402300770231
99	-0.9376397723003734	-0.899735406207156
100	-0.9356220183027817	-0.8947582589521846
