seed	Spearman	Pearson
1	-0.8691319270815654	-0.814164615211315
2	-0.903854621713597	-0.8624726482197519
3	-0.8844570965850714	-0.8441482006649157
4	-0.8817183120380666	-0.8457171719073837
5	-0.90826583578325	-0.8700081908322577
6	-0.8818225986929412	-0.8328676848779071
7	-0.911692127999329	-0.8757855066720256
8	-0.9105705766895547	-0.8697154708931703
9	-0.8827665237147231	-0.855269313597248
10	-0.8884946553083466	-0.853191248002386
11	-0.9064479291669149	-0.8696663309374983
12	-0.9132521345791388	-0.8790700219538565
13	-0.8941400514881848	-0.8486459835930332
14	-0.8963005566159837	-0.8636193156759504
15	-0.9200420280484001	-0.8729125030054068
16	-0.8965673261462593	-0.8561426441747484
17	-0.8939043934840387	-0.8519127119090143
18	-0.8728804505153026	-0.8395966999299139
19	-0.9148163673820472	-0.8669003319903149
20	-0.908358547741417	-0.863395805070877
21	-0.8979004133224269	-0.860294071536425
22	-0.9073307528759653	-0.8688555299287006
23	-0.9071678952805714	-0.85606801004236
24	-0.89650455022588	-0.866569275111996
25	-0.8959100802628711	-0.8486149802731875
26	-0.8928410063141112	-0.848405548159314
27	-0.8925460431004711	-0.8461822089738615
28	-0.8847178138879139	-0.8488600697859356
29	-0.8865371842449056	-0.8501579482435436
30	-0.9105546700586475	-0.8709945481268649
31	-0.9020992882905713	-0.8569271508301717
32	-0.8857158674893575	-0.8454674677653805
33	-0.9085453522492234	-0.8684477014566906
34	-0.8791164305080387	-0.8356025955345817
35	-0.894774739622029	-0.8614799170787812
36	-0.8856973116463615	-0.8514421855587236
37	-0.8972932073315031	-0.8511062378443968
38	-0.8838835557442577	-0.8552601783544731
39	-0.8811190514690627	-0.847418689711098
40	-0.9055270408766624	-0.8695463668334928
41	-0.902142542607726	-0.8638731731849657
42	-0.8865297363023067	-0.8592964351843115
43	-0.881071955017931	-0.8398902116606741
44	-0.9124987852239579	-0.8774450960690254
45	-0.9065041586630143	-0.8610052556553778
46	-0.9164670587377372	-0.8604451108688322
47	-0.8781796786102236	-0.8357120606411563
48	-0.8886968119980341	-0.853873739742447
49	-0.9036333525729564	-0.8564619242123375
50	-0.8761185950979058	-0.8402059935042056
51	-0.9150989146886039	-0.8737881310474065
52	-0.8944691453821503	-0.8592914905094088
53	-0.8711570023263254	-0.8458467878278595
54	-0.8785583810328069	-0.839251227388227
55	-0.9205029330206392	-0.8767808278187614
56	-0.9043949712678475	-0.8712919335866366
57	-0.8777922832126687	-0.8526261046096799
58	-0.9000726613223096	-0.8526446599678127
59	-0.8982132166102442	-0.8638849701870497
60	-0.9056263929174913	-0.8643786638574789
61	-0.88799045750663	-0.8393063311362107
62	-0.907207230461026	-0.8733957986620831
63	-0.9042062926630565	-0.8644790036694241
64	-0.9110553985638276	-0.8626818662313873
65	-0.9116976837201275	-0.8650003999736477
66	-0.899817017900066	-0.8415222968718652
67	-0.8894249775299905	-0.8607809685457781
68	-0.8817616412818876	-0.8485013948591513
69	-0.8864293035998718	-0.8347071639543311
70	-0.9000610258787706	-0.8560436217317607
71	-0.9050643416353036	-0.8557753205913072
72	-0.8840738561811168	-0.8490358343270995
73	-0.8977091218124044	-0.8643431901725138
74	-0.882198478998418	-0.8404792858532328
75	-0.8860727316899404	-0.8514119979991619
76	-0.9113987048252105	-0.8652727127741255
77	-0.9003279787586023	-0.8580348932689406
78	-0.8910430512243924	-0.8346982291476506
79	-0.8888554854694714	-0.8324159004288272
80	-0.9041211494998614	-0.8680611396014674
81	-0.8793786769168357	-0.8391795747864159
82	-0.8990970925276572	-0.865671254780015
83	-0.9043771933119885	-0.873536717798729
84	-0.8947918663110652	-0.8656470531709939
85	-0.9029064274260268	-0.86687554787128
86	-0.90087824921353	-0.8638945993310924
87	-0.906548202895742	-0.8667207716628049
88	-0.8944624144162816	-0.8533690265038616
89	-0.8952791700541509	-0.8406336680902995
90	-0.9017659234705997	-0.860261247722092
91	-0.9070161222592976	-0.8660380236566692
92	-0.8904172466294366	-0.8567294211374334
93	-0.9032395551098271	-0.8599826501560361
94	-0.9013672820052192	-0.856027980319096
95	-0.9011496163708201	-0.8611669058315321
96	-0.9008314437699728	-0.8508141416597907
97	-0.8912227542669662	-0.8428434041538642
98	-0.9011515699992269	-0.8535586253442623
99	-0.9119664594545822	-0.8661252068956404
100	-0.9023893772541425	-0.8657469237953116
