seed	Spearman	Pearson
1	-0.9086027305717704	-0.9101906782415896
2	-0.9272938966982016	-0.9296554743489952
3	-0.9125848307596152	-0.9165144301507714
4	-0.9181812557077982	-0.9234615657980343
5	-0.9266995098099707	-0.9273728536708308
6	-0.9127682557230674	-0.9157976337588201
7	-0.927451390800305	-0.9263736886232249
8	-0.9305360520426836	-0.9342913006735158
9	-0.914787007262919	-0.9164513060861987
10	-0.9246768779070001	-0.9261611390859101
11	-0.9315861865563861	-0.9300934022975085
12	-0.9345481125159764	-0.9345830195706222
13	-0.9307023420643353	-0.9321081840671566
14	-0.9221924656713808	-0.9247667553662765
15	-0.9353986343462578	-0.9352627670619992
16	-0.9268487718343512	-0.9318560142700161
17	-0.9165886873078041	-0.922310771756329
18	-0.9224702820315376	-0.9224908852744023
19	-0.9312041091543722	-0.936517203933339
20	-0.9314698075978588	-0.9370447196041924
21	-0.922253935750765	-0.9289955859547914
22	-0.9306525908149367	-0.9296483694272755
23	-0.9267198041232366	-0.9349053227176236
24	-0.9230464249057122	-0.9204540184977877
25	-0.9214503206004946	-0.9260794489306933
26	-0.9258993328696389	-0.9297145666114482
27	-0.918066116006451	-0.926942516995091
28	-0.9166068340876433	-0.9223905738013919
29	-0.9117266754941497	-0.9212908606450232
30	-0.9286978053882168	-0.9337752821514587
31	-0.9290213475080284	-0.937783719124036
32	-0.9160889974823084	-0.9107425495322454
33	-0.9264007828620824	-0.9297196645420862
34	-0.9091389826920594	-0.9158701095789955
35	-0.9222596445705367	-0.9295540891028777
36	-0.918787353287135	-0.9173318144382945
37	-0.9300139681906471	-0.9292943560276755
38	-0.921727077920234	-0.9225538360514342
39	-0.9224163171000335	-0.9271811607507747
40	-0.9280086801297335	-0.9302228283925127
41	-0.9239524726992816	-0.9270768573074288
42	-0.9173768074500466	-0.9232153033966652
43	-0.9180514696322328	-0.9253231608487574
44	-0.9329661878184281	-0.9327055022734946
45	-0.9280950045498535	-0.9211559833731309
46	-0.9275839292268846	-0.9330107098900335
47	-0.9166151506375537	-0.9132604168930184
48	-0.9171810767628689	-0.9144183095840729
49	-0.9170063487233496	-0.9209275202225207
50	-0.9196248849940064	-0.9221085845308064
51	-0.9298162427611691	-0.9292487724095755
52	-0.9207714189667421	-0.9213962475748242
53	-0.9066370267664821	-0.9131700366198029
54	-0.9166687754994319	-0.9180286728158047
55	-0.9348368995019858	-0.9347038273650377
56	-0.9291636133122705	-0.931485300756249
57	-0.9166811942761214	-0.9276501321821524
58	-0.9178262161199016	-0.9219794965464458
59	-0.9259317297020028	-0.9270849556966393
60	-0.9316275495672192	-0.940531080358483
61	-0.9182568221189902	-0.9227731482820287
62	-0.9302961185741548	-0.9385441819941893
63	-0.9261880745818666	-0.9302348146559135
64	-0.9314436022891988	-0.9363053174439707
65	-0.927640700723887	-0.9300501082146465
66	-0.9314931415609428	-0.9229337383474137
67	-0.9256417305659521	-0.9328685189471174
68	-0.9125451190587688	-0.9223150868266525
69	-0.9183174629354843	-0.9217573034801069
70	-0.9314224162880524	-0.9333210465963662
71	-0.9325188969715633	-0.935117451879821
72	-0.9163934994031705	-0.9189968841051961
73	-0.9255878352836096	-0.9282708228479901
74	-0.9171406504203327	-0.9189392180665905
75	-0.9199970300809255	-0.9259946320109949
76	-0.9257441977966437	-0.9294195759381155
77	-0.9266310616839089	-0.9337733673599666
78	-0.9146517781297163	-0.91033953436333
79	-0.9202512083860478	-0.9215707377556109
80	-0.9274771059225513	-0.9288517338454049
81	-0.9198229457704145	-0.9267864506755905
82	-0.9256774472283029	-0.9309943695176481
83	-0.9326235227537997	-0.9376941275489782
84	-0.9296160579892174	-0.9277499983530448
85	-0.9243628735815407	-0.9292435728188909
86	-0.9214928215928413	-0.929662223051763
87	-0.9341025689895027	-0.9389438422115894
88	-0.9244135201576283	-0.9284027591195743
89	-0.9252252703531038	-0.926704361892372
90	-0.9343037263485535	-0.9397545559811153
91	-0.9267936107983686	-0.9262558333447335
92	-0.9094888431325684	-0.9148996514402297
93	-0.9292511689104845	-0.9348735940224874
94	-0.9209634554358443	-0.9241059263512752
95	-0.9309489520699833	-0.9319098751463551
96	-0.9246016076576533	-0.9237239513741535
97	-0.9273330538578078	-0.9334530478995597
98	-0.9144688809610095	-0.9220077378980305
99	-0.9294349579827289	-0.9348604529062291
100	-0.9312686546920789	-0.9356197115089644
