seed	Spearman	Pearson
1	-0.8894921038423006	-0.8590378565516154
2	-0.8832797472446675	-0.847885496492568
3	-0.8973456449542199	-0.8483977420481322
4	-0.8923465064418598	-0.8478694600401484
5	-0.8965735493541833	-0.8466396853366404
6	-0.9000184736981349	-0.8640286181111174
7	-0.8880351010673316	-0.8519478733394921
8	-0.9077662604532105	-0.8663377496922806
9	-0.8802139390469922	-0.8494804418637405
10	-0.8980798799236436	-0.8595737641992385
11	-0.8948781723122736	-0.8570944552063267
12	-0.8987468946562344	-0.8446893224122604
13	-0.9038681684389492	-0.8594215382200865
14	-0.8843599747887035	-0.8581130133618642
15	-0.8998311832641918	-0.8658173555622136
16	-0.8918685548397164	-0.8423444668861273
17	-0.9172763107117096	-0.8611929497632378
18	-0.8832761335495178	-0.8573680138893289
19	-0.8840209574030384	-0.8418590240816299
20	-0.8810352012178405	-0.8405591045529874
21	-0.8667227398190855	-0.8449736166471673
22	-0.8845248194533657	-0.8474307101476976
23	-0.8696151939899076	-0.8478446362627802
24	-0.8875865149632262	-0.8385309411518937
25	-0.8875603984690266	-0.8516255494057535
26	-0.8781580282195481	-0.843693422860555
27	-0.8864070944050332	-0.8431624278682476
28	-0.8744736362053692	-0.8412436610202136
29	-0.8940955822129627	-0.8606657420446124
30	-0.9122527256206544	-0.8695869679806103
31	-0.8943533528961402	-0.8465055125358443
32	-0.8915961750679264	-0.8568769115344954
33	-0.898023477667507	-0.8636865233053952
34	-0.9009680444642795	-0.8456989196716876
35	-0.8786913791115311	-0.8598500514527898
36	-0.8812340508621286	-0.8448893067088659
37	-0.8783616277899539	-0.8472257965875227
38	-0.90841886566035	-0.8691277142565943
39	-0.9076624461725717	-0.8660277545710819
40	-0.8909573230684039	-0.8425653911090732
41	-0.8924750822176263	-0.8445781498243229
42	-0.8912777012799226	-0.8511915261736814
43	-0.8919864841734637	-0.8557253885129585
44	-0.8877884350998615	-0.8401378844772283
45	-0.8718897300837101	-0.8389884689393086
46	-0.8962776105440494	-0.8618928948294308
47	-0.8994576518180118	-0.8648295197527336
48	-0.8871601980244436	-0.8609651919344892
49	-0.8775175430235349	-0.8484207085887661
50	-0.8920624589848943	-0.8592594683606721
51	-0.8968351430114123	-0.8501825312301069
52	-0.8970863565572899	-0.8643692168606514
53	-0.8850847485173091	-0.8368642658583746
54	-0.8982713333047413	-0.8559246127948765
55	-0.8863526289534112	-0.8556784250169083
56	-0.8982387611385833	-0.8603774230472424
57	-0.9052732420266748	-0.8594005891309775
58	-0.8838784811842826	-0.8289380914963795
59	-0.89058987039045	-0.8387487036033294
60	-0.8914420388112725	-0.8449672497106464
61	-0.9056855913846317	-0.8570764653032432
62	-0.8880536087152296	-0.8585388471952364
63	-0.8920369364757321	-0.8442983722030999
64	-0.8880911932986492	-0.851435758828103
65	-0.8814256048893915	-0.8451046566691047
66	-0.8953329423388361	-0.8556958234681595
67	-0.898549730132623	-0.87219566322759
68	-0.8862763632959022	-0.8409215205986418
69	-0.8924346255451528	-0.8522210872791094
70	-0.895527983099981	-0.8484615369626507
71	-0.8754006430402286	-0.849600492732927
72	-0.8883892920453057	-0.8497828937998322
73	-0.9009803330864548	-0.8454293541618123
74	-0.8957847339058678	-0.8554843609656582
75	-0.8938907247490978	-0.8453047779007714
76	-0.8869509084413373	-0.8514317189404164
77	-0.8763454639089244	-0.8457518163963845
78	-0.8921265131779497	-0.8554210555866918
79	-0.8978807706403884	-0.8481240532621075
80	-0.9102212810859893	-0.8628177535305384
81	-0.8701080482650586	-0.840105984751707
82	-0.8981150663528216	-0.8470811047288104
83	-0.8848966975367046	-0.854170150776882
84	-0.9018179020521718	-0.8589311958068335
85	-0.8928830638275643	-0.8397644015473944
86	-0.8843301944709728	-0.84712754226254
87	-0.8888603318932443	-0.8593742896352052
88	-0.892416054478642	-0.8355248126248418
89	-0.9065173700421508	-0.8580503766793175
90	-0.8967577853020222	-0.8599050772036037
91	-0.888966430655435	-0.8566175197933976
92	-0.896317267701337	-0.8615998728816769
93	-0.8901872902147956	-0.8491698197679145
94	-0.9025375784887096	-0.8698735850327914
95	-0.8961638625248273	-0.8550282954793907
96	-0.8828554832682718	-0.8500526663353727
97	-0.8832097154570678	-0.8446231370343914
98	-0.8966341203077375	-0.8547785013493664
99	-0.8937192714810966	-0.8493682428672646
100	-0.8842586569202248	-0.8363900371672395
