seed	Spearman	Pearson
1	-0.8701421733302704	-0.861905444603174
2	-0.8691646298043182	-0.8573947560579792
3	-0.8914282589714092	-0.879917003840756
4	-0.8845154370669949	-0.8777594210989708
5	-0.8753194010844337	-0.8592408260730109
6	-0.8901916182759385	-0.880772786525388
7	-0.8804645234208899	-0.8774567621615701
8	-0.8968927872374556	-0.8842568675935818
9	-0.8691454696695169	-0.8680731621234197
10	-0.8834159479164571	-0.8731002479179508
11	-0.8854002139855313	-0.8669334388200371
12	-0.8795556160797319	-0.8719657131341384
13	-0.8943405117793984	-0.8778221819629107
14	-0.8764788075945603	-0.875674937249042
15	-0.8929338620884222	-0.8784681955620133
16	-0.8840365751823792	-0.8681736141530908
17	-0.905821527756306	-0.8952684752408618
18	-0.8809453693692613	-0.8809999635402639
19	-0.868069546475308	-0.8716140987914521
20	-0.8705225731382833	-0.8757602343758344
21	-0.8609904772939173	-0.8619308051857542
22	-0.8799110620103333	-0.8696919582102376
23	-0.8773205555132003	-0.872168517928427
24	-0.8748708022054323	-0.8737153190637832
25	-0.8669696391082001	-0.8642064135651555
26	-0.8792433021626157	-0.8718629940965708
27	-0.8690196869696524	-0.8656599710848868
28	-0.8785558385294032	-0.8719794672625261
29	-0.8952802354771272	-0.8873243668751525
30	-0.8865105156920928	-0.8788153795797451
31	-0.8921139436037663	-0.8766314180098828
32	-0.8798758841364488	-0.8786243922286703
33	-0.8842957828560488	-0.8770982797150206
34	-0.8924268638444001	-0.8747102458751459
35	-0.8750990009093483	-0.8766536067985361
36	-0.8787674896079698	-0.8650368743392101
37	-0.8636678586205102	-0.8678466722684962
38	-0.8776860514116487	-0.8644034003949066
39	-0.8893264268663983	-0.8729629297010577
40	-0.8907119861304059	-0.8775867395241852
41	-0.8882294823269504	-0.874398387885815
42	-0.873710796153446	-0.860540362651609
43	-0.8891558335956925	-0.8755054855600047
44	-0.8670074219366644	-0.862962472944432
45	-0.8669082737166969	-0.8561177532630462
46	-0.891913356558357	-0.8831025180386176
47	-0.8840456472011946	-0.8730474137177152
48	-0.866445829081386	-0.8641891761837757
49	-0.8750216504828487	-0.869680973327877
50	-0.8810103332267327	-0.8769470241025432
51	-0.8783279032127725	-0.8660283754486586
52	-0.884159633611974	-0.8783392394914511
53	-0.8680335236222572	-0.8617088377816837
54	-0.8716063154924671	-0.8611942206399451
55	-0.858211117764655	-0.8543215664476663
56	-0.8833181374849779	-0.8800536445948952
57	-0.8960931542761331	-0.891960649999552
58	-0.8763227319175406	-0.8630708487720794
59	-0.8839759982490781	-0.8725432438837175
60	-0.8901100241914448	-0.8819039066281993
61	-0.8800351091013913	-0.8649944984777853
62	-0.8821638040438059	-0.8806444261028062
63	-0.8904278016045499	-0.8818707574055611
64	-0.8701985145521647	-0.8703204273610889
65	-0.8739857409077477	-0.8664395129943038
66	-0.888305538264722	-0.8791283205081769
67	-0.9007705137575135	-0.8905234358091116
68	-0.8800204274745522	-0.8765994104886928
69	-0.8898851264054725	-0.8811219701520501
70	-0.8717910165961371	-0.8632291281651778
71	-0.8778718527037026	-0.8759729877172487
72	-0.8749495241613058	-0.8675979582327804
73	-0.8972786964496863	-0.8811406480042674
74	-0.883894606730957	-0.873966364333933
75	-0.8865277373229562	-0.8771606158122651
76	-0.8773936884174744	-0.8693521043564216
77	-0.883501231495394	-0.8761255164732398
78	-0.8749764308278184	-0.8743207273015472
79	-0.8874708065216791	-0.8768018162760731
80	-0.897263508230614	-0.8853219931207968
81	-0.864255751312747	-0.8681480900023013
82	-0.8796892519221758	-0.865989770966556
83	-0.8771440850281973	-0.86950157877197
84	-0.8835123278359839	-0.8643422349290143
85	-0.8662066543872988	-0.8599436874347589
86	-0.8816706658543239	-0.8760827311471161
87	-0.8835689833633269	-0.8768067742898422
88	-0.8817618134454148	-0.8657253423057889
89	-0.8903237119713158	-0.874736634101168
90	-0.8907369768550295	-0.8793068149983835
91	-0.8837297649977583	-0.8743486267786755
92	-0.8835514637501384	-0.8784228236742737
93	-0.8689627270327457	-0.866076937323366
94	-0.9008686756773131	-0.8941688486096683
95	-0.8814167080904138	-0.8727429641256881
96	-0.8869257583423117	-0.8732531414133767
97	-0.8786904443696704	-0.8652303743158716
98	-0.8915768341484167	-0.8831269917212695
99	-0.8795490598976358	-0.8686606134906254
100	-0.8956793731767215	-0.8769593170178933
