Fraction_of_nodes	Efficiency
0.001	0.24898104039935537
0.002	0.2485559646802134
0.003	0.24816024378567766
0.004	0.2477591630001154
0.005	0.24737824410177384
0.006	0.24702575014867056
0.007	0.2466609778454344
0.008	0.2463041315794849
0.009	0.24596114428810684
0.01	0.24561981702730137
0.011	0.24536532862261584
0.012	0.24500789031462306
0.013	0.24464982862992204
0.014	0.24442152425666896
0.015	0.24410838339903945
0.016	0.24387400855381675
0.017	0.24371656439161482
0.018	0.24339122604227853
0.019	0.24306512761110494
0.02	0.24269694190426186
0.021	0.24238129157318156
0.022	0.2420493584419845
0.023	0.24170581852735917
0.024	0.24138330431132782
0.025	0.2411275281888514
0.026	0.2407818973854101
0.027	0.24042042254502408
0.028	0.2400972207355391
0.029	0.23982008941853528
0.03	0.2395288656264104
0.031	0.2392627574462247
0.032	0.23893619816152936
0.033	0.2387098310107364
0.034	0.23848035271939302
0.035	0.23821161109238276
0.036	0.23786576354304342
0.037	0.23752297023478286
0.038	0.23717920388207112
0.039	0.23693653684308363
0.04	0.23666869424316878
0.041	0.2363237140717623
0.042	0.23614550328753872
0.043	0.23578305261465568
0.044	0.23545041147444695
0.045	0.23515372296552586
0.046	0.2349330875196255
0.047	0.2346708961667343
0.048	0.23454758086332364
0.049	0.23427748129655934
0.05	0.23408096637930373
0.051	0.23374827420169123
0.052	0.23340444980508834
0.053	0.23321947917058763
0.054	0.23300137109228647
0.055	0.23261578878373837
0.056	0.23238479799444234
0.057	0.23204176049271558
0.058	0.23183865397556438
0.059	0.23149773032528004
0.06	0.23131204864624688
0.061	0.23094823690871466
0.062	0.23069736966396653
0.063	0.2303524164193464
0.064	0.23013053939626085
0.065	0.2298473888299998
0.066	0.2296413601380154
0.067	0.22936555579965945
0.068	0.22921176715642866
0.069	0.2289663235341505
0.07	0.22884442361131319
0.071	0.22857840203375782
0.072	0.22849489542960025
0.073	0.22828403408814454
0.074	0.22791553046498292
0.075	0.22777369391739694
0.076	0.22763232184844803
0.077	0.22737544629335293
0.078	0.2271731060131079
0.079	0.22694333169309214
0.08	0.22659543353302727
0.081	0.22637218269480514
0.082	0.22615070059763287
0.083	0.2259492975169976
0.084	0.22579510526214075
0.085	0.22537020904257285
0.086	0.2249976660749078
0.087	0.2247324997192885
0.088	0.22450347821227448
0.089	0.22419768616788982
0.09	0.22381873169063296
0.091	0.2235345943872332
0.092	0.2230753614586277
0.093	0.22287563667067534
0.094	0.22277090436927469
0.095	0.22263102048187644
0.096	0.22224267717017607
0.097	0.22221582044582064
0.098	0.2218280042362724
0.099	0.2215524206892498
0.1	0.2211572509534253
0.101	0.22098488998066107
0.102	0.22065085067938453
0.103	0.22039604489183381
0.104	0.22021681397230264
0.105	0.21997453489247784
0.106	0.2196731754342889
0.107	0.21942292023552265
0.108	0.2192741600090878
0.109	0.21882822137751912
0.11	0.21852749144758646
0.111	0.21833454859364715
0.112	0.21804141575175706
0.113	0.21793080390188488
0.114	0.21716334240471963
0.115	0.2168226314141788
0.116	0.21654613336495146
0.117	0.2162414563460421
0.118	0.2161452009113902
0.119	0.21597085558877063
0.12	0.21568327000735657
0.121	0.2155116679406721
0.122	0.21522833217282147
0.123	0.2151291348352401
0.124	0.21483150477872787
0.125	0.21463647939749933
0.126	0.21436900995478272
0.127	0.21416009482097087
0.128	0.2138257969990239
0.129	0.21357941147719442
