Fraction_of_nodes	Efficiency
0.001	0.24930899599117606
0.002	0.24928328166314156
0.003	0.2491623229817868
0.004	0.24906164548331078
0.005	0.24895261446852937
0.006	0.24886132022768845
0.007	0.24876552196227447
0.008	0.24861786851843073
0.009	0.24857242163807647
0.01	0.24851220423419784
0.011	0.2484505339553663
0.012	0.24837654156248762
0.013	0.24830622442382982
0.014	0.24819799209927967
0.015	0.24804373873890778
0.016	0.24792596971005093
0.017	0.24781265166252772
0.018	0.2477494305310964
0.019	0.24768724175466805
0.02	0.24760896960762552
0.021	0.24751715174570266
0.022	0.24743522280537616
0.023	0.2473799660956435
0.024	0.2473269536038965
0.025	0.2472436240940168
0.026	0.24713857008287424
0.027	0.24701428628012095
0.028	0.24694687733602977
0.029	0.24688717126756837
0.03	0.246743599955881
0.031	0.24663617244968275
0.032	0.24649224614138848
0.033	0.24640153279847535
0.034	0.24627609178570328
0.035	0.24617124552151468
0.036	0.2460483182553662
0.037	0.245943681950162
0.038	0.24582240057185634
0.039	0.24576633317614274
0.04	0.24566656710002635
0.041	0.24560087377248285
0.042	0.2455609973275644
0.043	0.24544139063791226
0.044	0.24534704562626644
0.045	0.24525860121735304
0.046	0.2452034042145526
0.047	0.24509016933281313
0.048	0.2450166044352633
0.049	0.2448906145506713
0.05	0.24482397775427192
0.051	0.2447289862149539
0.052	0.2446262079605832
0.053	0.24455009838520217
0.054	0.24447415434898495
0.055	0.2444404914053381
0.056	0.24437495560241346
0.057	0.24426915360621804
0.058	0.24421162509985614
0.059	0.24413111684789063
0.06	0.24408127705048824
0.061	0.24395241874503135
0.062	0.24389113907238053
0.063	0.24382299755519035
0.064	0.24377325942184358
0.065	0.24371886964008488
0.066	0.2436432075295166
0.067	0.2435297250237208
0.068	0.24347652409396758
0.069	0.24338181722832036
0.07	0.24330623473072865
0.071	0.24321091166511702
0.072	0.24312131754279148
0.073	0.2430380351832976
0.074	0.24290759747855772
0.075	0.24282087672227887
0.076	0.24272018670044987
0.077	0.24264470073260241
0.078	0.24257841091875423
0.079	0.24249565521004796
0.08	0.24243116618026553
0.081	0.2423386192034981
0.082	0.24226156931663695
0.083	0.2421514727941676
0.084	0.24201306038329934
0.085	0.24191181983797141
0.086	0.24175847754439622
0.087	0.24166740755583288
0.088	0.24154161674663902
0.089	0.24146293283965492
0.09	0.24137658015007749
0.091	0.2413113071336001
0.092	0.24121366020506613
0.093	0.2411035122726179
0.094	0.240997058402788
0.095	0.240910748628092
0.096	0.24081280109400507
0.097	0.2407112859421415
0.098	0.240627520766362
0.099	0.24049261637679925
0.1	0.24036386402402563
0.101	0.24024031957936898
0.102	0.2400310026964445
0.103	0.23992204504538095
0.104	0.23979166102648372
0.105	0.23966721092448937
0.106	0.23957452504941362
0.107	0.23945693562074805
0.108	0.2393436991702962
0.109	0.23923227849604847
0.11	0.23912877052181986
0.111	0.23900570283538852
0.112	0.2388564786812538
0.113	0.23870085882365916
0.114	0.23857934655760227
0.115	0.23846022737737096
0.116	0.23838772568092428
0.117	0.23822795162840302
0.118	0.23812971683542455
0.119	0.23808966929389824
0.12	0.23802096507575757
0.121	0.23793296965183014
0.122	0.23778489914134818
0.123	0.23766929526922415
0.124	0.23756299381930007
0.125	0.23746094459827255
0.126	0.23734698099224097
0.127	0.2372114668147177
0.128	0.23713127953408647
0.129	0.23702144324550756
0.13	0.23690780505755327
0.131	0.23677119073317368
0.132	0.23668231555812805
0.133	0.23654257441844742
0.134	0.23645138355235557
0.135	0.23634896072331307
0.136	0.23622666089907335
0.137	0.23611589303520727
0.138	0.23601689182700913
0.139	0.23592734321364403
0.14	0.23586924175109275
0.141	0.2358097233044433
0.142	0.23573144971680837
0.143	0.23564013697730712
0.144	0.23555844526562303
0.145	0.23548851506906474
0.146	0.23528908688424793
0.147	0.23518657535987866
0.148	0.23499069163688863
0.149	0.23487930133319307
0.15	0.23481620558749147
0.151	0.23472064969716944
0.152	0.23460296057103544
0.153	0.23451134491309059
0.154	0.2344433226957491
0.155	0.23435853968647075
0.156	0.2341398199976604
0.157	0.23403549333366436
0.158	0.2339517844049818
0.159	0.23382333113617942
0.16	0.23373246752048832
0.161	0.2336260767391561
0.162	0.2335229962596292
0.163	0.23342939664273685
0.164	0.23329178587484672
0.165	0.23320857531278963
0.166	0.2330774625714155
0.167	0.23299212026865312
0.168	0.23285079885788412
0.169	0.23267622147539918
0.17	0.2325509333562122
0.171	0.23244383527277632
0.172	0.23227016943694254
0.173	0.23214943869745946
0.174	0.23204545244921268
0.175	0.23188337711383142
0.176	0.2317522956178665
0.177	0.2315957658302957
0.178	0.23141764926621716
0.179	0.23126391111098293
0.18	0.23114286860603878
0.181	0.23100653536795818
0.182	0.23089100200228602
0.183	0.230760394512089
0.184	0.23065865891346013
0.185	0.23047250401543354
0.186	0.2303177083250604
0.187	0.23025650094053032
0.188	0.23013306171422926
0.189	0.22991300975484644
0.19	0.2298016875842722
0.191	0.22969781262066458
0.192	0.22950370656634722
0.193	0.22947627810880072
0.194	0.22934525625968316
0.195	0.22918553748546594
0.196	0.2290347272560615
0.197	0.22897891935231662
0.198	0.22884449165300946
