Fraction_of_nodes	Efficiency
0.001	0.24898104039935537
0.002	0.24858596689221651
0.003	0.24815817216634972
0.004	0.24778143442609427
0.005	0.24744710907433776
0.006	0.24704196502291714
0.007	0.24669150064481368
0.008	0.24633377141791318
0.009	0.24600784162037287
0.01	0.2457248589725815
0.011	0.24534620072977256
0.012	0.2449893828973104
0.013	0.24463121027526868
0.014	0.24431460314059775
0.015	0.2439957718487081
0.016	0.2437293651403639
0.017	0.24335947061832675
0.018	0.24306905395305572
0.019	0.24274509658425908
0.02	0.24248976812564518
0.021	0.24215003037479094
0.022	0.24184242246099336
0.023	0.2414893097465296
0.024	0.2412368542222359
0.025	0.24104834613429427
0.026	0.2407214906129656
0.027	0.24037651209514832
0.028	0.24020849693199625
0.029	0.2398440640141582
0.03	0.23957604745808508
0.031	0.2392450448370373
0.032	0.23891631229389093
0.033	0.23856923043046435
0.034	0.23821621792977107
0.035	0.23792509621122615
0.036	0.23765802792792493
0.037	0.23737427989916993
0.038	0.23712644847031503
0.039	0.23680486906149473
0.04	0.23652841398263477
0.041	0.23618824638636127
0.042	0.23599779067491058
0.043	0.23569198800186536
0.044	0.23548173485397766
0.045	0.23508462838442107
0.046	0.2347850469535273
0.047	0.23445821665629818
0.048	0.23416290543687274
0.049	0.23381579869886035
0.05	0.2335610601859695
0.051	0.23330728357945846
0.052	0.2331783278064849
0.053	0.23299699858229683
0.054	0.23263306747921794
0.055	0.23233305202297677
0.056	0.2320844454541106
0.057	0.23173915938345382
0.058	0.23156315636508923
0.059	0.23136826566944055
0.06	0.23113188705674959
0.061	0.23094350896726976
0.062	0.23074070004663855
0.063	0.23045572480706153
0.064	0.23032028157128695
0.065	0.23003457369030136
0.066	0.2298162876866337
0.067	0.22962537914901704
0.068	0.2293839069084313
0.069	0.22917344931435737
0.07	0.2288324467844948
0.071	0.22849531980023885
0.072	0.2281867092063694
0.073	0.22783209243483732
0.074	0.22747788053486434
0.075	0.22710625003562754
0.076	0.2268394443704228
0.077	0.22658789379101418
