Fraction_of_nodes	Efficiency
0.001	0.24901061000140065
0.002	0.24878472616267377
0.003	0.24836386190720752
0.004	0.24819996905756225
0.005	0.2477973560455118
0.006	0.24770460870258051
0.007	0.24756820207093572
0.008	0.24724201763850973
0.009	0.2470095360428602
0.01	0.2467930058951292
0.011	0.24657188198978228
0.012	0.2463204031453091
0.013	0.24605612360085197
0.014	0.245976663378687
0.015	0.2456585768741701
0.016	0.24533310470996952
0.017	0.2451691953017562
0.018	0.24483471775187055
0.019	0.24447295504966016
0.02	0.24431438240157674
0.021	0.2439331124536341
0.022	0.24368738359008835
0.023	0.24332587151023957
0.024	0.24302306891833958
0.025	0.24280131778055308
0.026	0.24263993071742498
0.027	0.2422972632242168
0.028	0.24208230129947017
0.029	0.2418383641072075
0.03	0.24152145575350972
0.031	0.24126056106245095
0.032	0.24104368298037332
0.033	0.24102010841824176
0.034	0.24084636332736092
0.035	0.2407244416068229
0.036	0.24043283570922241
0.037	0.24024164351428937
0.038	0.24015147839450096
0.039	0.24004508675811617
0.04	0.2398502904827361
0.041	0.23962510655485958
0.042	0.23954916774883447
0.043	0.23932090449341076
0.044	0.23934046956796362
0.045	0.23899511668011625
0.046	0.23884424809557808
0.047	0.23867535471839416
0.048	0.2385293654805684
0.049	0.2384619856701473
0.05	0.23806466376832205
0.051	0.23777458501024862
0.052	0.23766852866512536
0.053	0.23746841695886797
0.054	0.23699993395034313
0.055	0.23673746695923803
0.056	0.2366601410559611
0.057	0.2364622449398409
0.058	0.23635912262061692
0.059	0.2360891832948117
0.06	0.23578171177506232
0.061	0.23564551836147535
0.062	0.2354966206377107
0.063	0.23519002021655794
0.064	0.23484909154143271
0.065	0.23477456896831816
0.066	0.23471458418762814
0.067	0.23466568269547344
0.068	0.2344264521786917
0.069	0.23411618799137696
0.07	0.23397458410536923
0.071	0.23373339460144088
0.072	0.23335355433616176
0.073	0.23322253498604195
0.074	0.2330786988788678
0.075	0.232911350126654
0.076	0.23262100352240495
0.077	0.23239474390239842
0.078	0.23216107117915236
0.079	0.2319814940336765
0.08	0.23156950011019758
0.081	0.23150793425107224
0.082	0.23149347101102702
0.083	0.2313791355412433
0.084	0.23102666391769294
0.085	0.2307396978003259
0.086	0.23051422490752516
0.087	0.23053054093880213
0.088	0.23026491459704093
0.089	0.22996201435986333
0.09	0.22979118346241403
0.091	0.22948732438877176
0.092	0.2292099950304599
0.093	0.22911072424499693
0.094	0.2289720812411365
0.095	0.22874373709368157
0.096	0.22830338505097508
0.097	0.22796394378995125
0.098	0.2277604126207459
0.099	0.22760609610788843
0.1	0.22743734955425987
0.101	0.22733228646075973
0.102	0.2271763811762602
0.103	0.22711533069953269
0.104	0.22699671680885966
0.105	0.22687434422920383
0.106	0.22654368142321624
0.107	0.2263061318266788
0.108	0.22599636241946688
0.109	0.22551633690266792
0.11	0.2252270542832894
0.111	0.2251522161327875
0.112	0.22498090476581775
0.113	0.2249444058067458
0.114	0.224518942009977
0.115	0.22424740532216672
0.116	0.2239448041323136
0.117	0.2238009158020265
0.118	0.22364980434801934
0.119	0.2234803380820878
0.12	0.22321197510660212
0.121	0.2230310526692993
0.122	0.22260451258530564
0.123	0.22221934411604868
0.124	0.2221759709671458
0.125	0.2221484466864392
0.126	0.22205732948040482
0.127	0.2219047529391351
0.128	0.2217300003581155
0.129	0.2216961495837596
0.13	0.22154753349240935
0.131	0.2213409511573587
0.132	0.22088586225156984
0.133	0.220726103238745
0.134	0.22033158009522566
0.135	0.21985478089248184
0.136	0.2193988615093482
0.137	0.2193843519402395
0.138	0.21913711384637444
0.139	0.21895647236036803
0.14	0.218814732163189
0.141	0.21865632858083348
0.142	0.21835151861422836
0.143	0.21790112193341607
0.144	0.21779259393738765
0.145	0.21760961841689191
0.146	0.21751333086946623
0.147	0.217409345133485
0.148	0.21721514730557515
0.149	0.21701084350711472
0.15	0.2169547806559861
0.151	0.21688493298152284
0.152	0.21651718863654873
0.153	0.21636230881656712
0.154	0.21642724473610145
0.155	0.21627506046032066
0.156	0.21598047617178973
0.157	0.21579304767786328
0.158	0.21565881415021593
0.159	0.21558290372566882
0.16	0.21526567301536356
0.161	0.215233761258787
0.162	0.21501022843506376
0.163	0.21477922635959773
0.164	0.21444229108427434
0.165	0.21414610199492995
0.166	0.21397372583838523
0.167	0.21375870403103236
0.168	0.21346663285400155
0.169	0.21309015559108932
0.17	0.21295526987028707
0.171	0.21288328015128072
0.172	0.21284248209088058
0.173	0.21269399192183674
0.174	0.21263134282981022
0.175	0.21262618440521985
0.176	0.21199092042284123
0.177	0.21179285050967323
0.178	0.21154419553745357
0.179	0.21120766083668313
0.18	0.21105258530330076
0.181	0.21092494005506948
0.182	0.21083877602103354
0.183	0.2107081083825858
0.184	0.21075845419950134
0.185	0.2105416375659948
0.186	0.2103665665471878
0.187	0.20989236478669918
0.188	0.20973394984630409
0.189	0.20955636937029276
0.19	0.20940555944310896
0.191	0.2090634832728771
0.192	0.20883342062719817
0.193	0.2088927758670026
0.194	0.2088345652208263
0.195	0.20826625523644615
0.196	0.20786891242038716
0.197	0.2078291615046472
0.198	0.20785208273110253
0.199	0.20795427218925894
0.2	0.20783124118414167
0.201	0.20777119992040552
0.202	0.20712825868879392
0.203	0.20714366449386726
0.204	0.20684488174549068
0.205	0.20684439646981154
0.206	0.20672580150910977
0.207	0.206664436256147
0.208	0.20625850360835327
0.209	0.20610087485034156
0.21	0.20613008478212536
0.211	0.2061522557253889
0.212	0.20595632435774916
0.213	0.20570284629391672
0.214	0.20560536484242004
0.215	0.20569879848949088
0.216	0.2055240929749063
0.217	0.20537176992398065
0.218	0.2051647901350499
0.219	0.2052027984579196
0.22	0.20519411720278144
0.221	0.20513435521446974
0.222	0.2050334991664843
0.223	0.20487971187496495
0.224	0.2042292116851527
0.225	0.20415343831114974
0.226	0.20413450271064335
0.227	0.20377376109183284
0.228	0.20348844675136202
0.229	0.20312746614801314
0.23	0.20264750201438372
0.231	0.20246789451741906
0.232	0.20217839616311534
0.233	0.20186482544285642
0.234	0.20179085445013648
0.235	0.20167997800036044
0.236	0.20157996964092884
0.237	0.20151649448012243
0.238	0.2012490253213545
0.239	0.20112208768713613
0.24	0.2011153515097603
0.241	0.20049615555490602
0.242	0.20013435767124374
0.243	0.1999370091939274
0.244	0.2000402680523919
0.245	0.19996908752070341
0.246	0.19960610324294686
0.247	0.19936654666187226
0.248	0.19932369259465318
0.249	0.1991963902543753
0.25	0.19929823917827463
0.251	0.19913612480307147
0.252	0.198618814396017
0.253	0.19865690311837292
0.254	0.1986509712442319
0.255	0.19866904035006008
0.256	0.19790671625992237
0.257	0.1978205815295465
0.258	0.19748954919510764
0.259	0.1974534216635876
0.26	0.19713697626381363
0.261	0.1963942847252237
0.262	0.1961374991746087
0.263	0.19602914883522157
0.264	0.19572152432835654
